"","child","parent","frequency","gp","par","chl"
"1",55.5,62.5,0.5,"fs","Father","Son"
"2",55.5,63.5,0.5,"fs","Father","Son"
"3",59.5,64.5,1,"fs","Father","Son"
"4",60.5,62.5,0.5,"fs","Father","Son"
"5",61.5,66.5,1,"fs","Father","Son"
"6",61.5,59.5,0.25,"fs","Father","Son"
"7",62.5,60.5,0.25,"fs","Father","Son"
"8",64.5,62.5,0.5,"fs","Father","Son"
"9",65.5,63.5,1,"fs","Father","Son"
"10",65.5,64.5,0.25,"fs","Father","Son"
"11",66.5,65.5,0.25,"fs","Father","Son"
"11",66.5,65.5,0.25,"fs","Father","Son"
"12",68.5,66.5,0.5,"fs","Father","Son"
"13",69.5,67.5,0.5,"fs","Father","Son"
"14",69.5,59.5,0.25,"fs","Father","Son"
"15",73.5,60.5,0.25,"fs","Father","Son"
"16",74.5,61.5,2.25,"fs","Father","Son"
"17",74.5,62.5,2.25,"fs","Father","Son"
"18",75.5,63.5,2,"fs","Father","Son"
"19",78.5,64.5,4,"fs","Father","Son"
"184",53.5,59.5,0.25,"md","Mother","Daughter"
"185",54.5,60.5,1.5,"md","Mother","Daughter"
"186",54.5,61.5,1.25,"md","Mother","Daughter"
"187",56.5,62.5,0.25,"md","Mother","Daughter"
"188",57.5,63.5,0.25,"md","Mother","Daughter"
"189",57.5,55.5,1.5,"md","Mother","Daughter"
"190",58.5,56.5,1.25,"md","Mother","Daughter"
"191",58.5,57.5,1.5,"md","Mother","Daughter"
"192",59.5,58.5,1.25,"md","Mother","Daughter"
"193",59.5,59.5,1.5,"md","Mother","Daughter"
"194",60.5,60.5,3.25,"md","Mother","Daughter"
"195",60.5,61.5,1.25,"md","Mother","Daughter"
"196",61.5,62.5,1.25,"md","Mother","Daughter"
"197",61.5,63.5,0.75,"md","Mother","Daughter"
"198",61.5,64.5,1,"md","Mother","Daughter"
"199",62.5,55.5,0.5,"md","Mother","Daughter"
"200",62.5,56.5,2.25,"md","Mother","Daughter"
"201",63.5,57.5,1.5,"md","Mother","Daughter"
"202",64.5,58.5,2.25,"md","Mother","Daughter"
"203",65.5,59.5,4.75,"md","Mother","Daughter"

