Obs,Sex,Height,LeftArm,RtArm,LeftFoot,RtFoot,LeftHand,RtHand,HeadCirc,nose
1,Male,69.0,25.5,25.5,27.0,26.5,9.50,9.00,58.5,5.5
2,Male,79.0,28.0,25.0,29.0,27.5,9.00,9.00,54.0,5.0
3,Male,75.0,27.0,27.5,31.0,32.0,3.75,3.75,62.5,5.0
4,Male,69.0,25.0,25.5,25.5,25.5,10.00,8.00,58.5,5.5
5,Male,65.0,25.0,25.0,23.5,23.0,9.50,9.40,57.0,4.4
6,Male,79.0,30.5,30.5,28.0,28.0,8.50,8.50,58.5,4.5
7,Male,72.0,26.5,26.5,28.5,28.5,9.50,9.50,60.5,4.2
8,Male,69.5,26.5,27.0,27.0,27.0,10.00,10.50,58.5,5.0
9,Male,73.0,28.0,28.4,30.6,31.4,8.50,8.90,57.4,6.4
10,Male,71.5,28.6,28.1,27.4,28.5,9.80,9.40,56.5,4.1
11,Male,69.5,27.0,27.0,27.0,27.0,9.00,9.00,58.5,5.0
12,Male,73.0,23.0,23.0,28.5,27.5,8.50,9.00,59.5,5.0
13,Male,71.0,28.0,27.0,29.0,27.0,8.00,8.00,59.0,6.0
14,Male,74.0,28.0,27.0,29.0,30.0,10.00,10.00,58.5,5.0
15,Male,75.0,31.0,28.0,28.0,29.0,8.10,8.40,59.0,6.0
16,Male,71.0,23.5,23.0,27.0,27.5,9.50,10.00,57.0,5.5
17,Male,72.0,28.5,28.0,26.5,27.5,11.50,11.50,58.0,6.5
18,Male,66.0,24.0,25.0,25.5,26.0,8.00,8.50,57.0,5.0
19,Male,71.0,26.0,26.0,29.0,28.0,9.00,9.00,55.0,5.0
20,Male,67.0,25.5,25.5,27.2,27.0,7.70,7.70,54.0,5.5
21,Male,71.0,29.5,28.5,29.0,28.5,9.00,9.50,57.5,5.5
22,Male,72.0,25.5,25.0,28.0,28.0,9.50,9.50,56.0,5.3
23,Male,72.0,25.0,26.0,28.5,29.0,8.50,9.00,61.0,4.5
24,Male,73.5,26.0,28.5,29.0,30.0,9.50,9.90,62.0,5.0
25,Male,73.0,30.0,29.0,23.5,24.0,9.00,9.50,58.0,6.0
26,Female,62.0,22.5,23.0,21.5,21.0,8.30,7.30,56.5,5.1
27,Female,66.0,24.0,25.0,24.0,25.0,8.50,8.50,53.0,6.0
28,Female,64.5,22.5,21.5,23.3,23.0,7.50,7.50,56.0,4.0
29,Female,64.5,24.5,24.5,25.0,25.5,8.00,8.00,55.0,5.0
30,Female,67.0,25.0,25.0,25.5,25.0,8.00,8.00,57.0,6.5
31,Female,72.0,28.0,28.0,26.2,25.7,9.10,8.50,56.5,4.3
32,Female,64.0,24.0,23.5,23.5,23.5,7.50,7.00,54.0,4.5
33,Female,69.0,28.0,25.5,26.5,26.0,7.50,7.50,58.0,4.5
34,Female,63.0,22.0,22.0,24.0,25.0,7.00,7.00,53.0,4.0
35,Female,64.0,24.0,24.0,21.0,21.0,7.00,7.00,56.0,5.0
36,Female,67.0,26.0,27.0,22.0,22.0,7.50,7.20,54.0,4.0
37,Female,63.0,25.0,26.5,24.0,23.0,7.00,6.50,54.5,5.0
38,Female,67.0,23.0,23.0,23.0,23.0,6.50,6.50,56.0,5.0
39,Female,66.0,25.5,25.5,24.0,25.5,9.50,10.00,54.0,4.0
40,Female,66.0,25.5,25.5,23.0,23.0,7.00,7.00,55.9,5.0
41,Female,64.0,23.5,24.0,22.0,22.6,7.60,7.50,58.2,4.9
42,Female,67.0,23.3,24.0,24.5,23.5,8.20,8.20,56.0,4.7
43,Female,71.0,25.5,28.0,25.5,28.0,7.50,8.50,58.0,5.0
44,Female,65.0,23.5,23.0,24.0,23.5,7.60,7.60,58.0,5.0
45,Female,68.0,25.0,25.0,25.0,24.5,8.00,8.00,56.0,4.5
46,Female,61.5,23.0,23.0,23.0,24.0,8.00,8.50,56.0,4.5
47,Female,62.0,23.5,23.5,23.5,23.0,8.00,8.00,57.0,4.5
48,Female,62.5,24.0,24.0,24.0,24.0,7.00,7.00,61.0,4.0
49,Female,68.0,25.5,25.0,25.5,25.0,10.00,9.00,53.5,4.0
50,Female,65.0,22.5,23.0,22.9,23.2,7.50,7.40,57.0,4.5
51,Female,61.0,22.2,22.2,22.0,22.2,6.90,6.90,55.2,4.7
52,Female,63.0,23.0,23.0,24.0,23.0,7.50,8.00,53.0,5.0
53,Female,71.0,25.5,28.0,25.5,28.0,7.50,7.50,54.5,5.0
54,Female,68.0,24.5,24.5,24.5,25.5,7.00,6.50,57.8,4.5
55,Female,62.0,26.0,26.0,23.0,23.0,6.00,6.00,56.0,5.0
