CGPA,Research,Chance of Admit 
9.65,1,0.92
8.87,1,0.76
8,1,0.72
8.67,1,0.8
8.21,0,0.65
9.34,1,0.9
8.2,1,0.75
7.9,0,0.68
8,0,0.5
8.6,0,0.45
8.4,1,0.52
9,1,0.84
9.1,1,0.78
8,1,0.62
8.2,1,0.61
8.3,0,0.54
8.7,0,0.66
8,1,0.65
8.8,0,0.63
8.5,0,0.62
7.9,1,0.64
8.4,0,0.7
9.5,1,0.94
9.7,1,0.95
9.8,1,0.97
9.6,1,0.94
8.8,0,0.76
7.5,1,0.44
7.2,0,0.46
7.3,0,0.54
8.1,1,0.65
8.3,1,0.74
9.4,1,0.91
9.6,1,0.9
9.8,1,0.94
9.2,1,0.88
8.4,0,0.64
7.8,0,0.58
7.5,0,0.52
7.7,0,0.48
8,1,0.46
8.2,1,0.49
8.5,1,0.53
9.1,0,0.87
9.4,1,0.91
9.1,1,0.88
9.3,1,0.86
9.7,0,0.89
8.85,1,0.82
8.4,1,0.78
8.3,1,0.76
7.9,1,0.56
8,1,0.78
8.1,1,0.72
8,0,0.7
7.7,0,0.64
7.4,0,0.64
7.6,0,0.46
6.8,1,0.36
8.3,0,0.42
8.1,0,0.48
8.2,0,0.47
8.2,1,0.54
8.5,1,0.56
8.7,0,0.52
8.92,0,0.55
9.02,0,0.61
8.64,1,0.57
9.22,1,0.68
9.16,1,0.78
9.64,1,0.94
9.76,1,0.96
9.45,1,0.93
9.04,1,0.84
8.9,0,0.74
8.56,1,0.72
8.72,1,0.74
8.22,0,0.64
7.54,1,0.44
7.36,0,0.46
8.02,1,0.5
9.5,1,0.96
9.22,1,0.92
9.36,1,0.92
9.45,1,0.94
8.66,0,0.76
8.42,0,0.72
8.28,0,0.66
8.14,0,0.64
8.76,1,0.74
7.92,1,0.64
7.66,0,0.38
8.03,0,0.34
7.88,1,0.44
7.66,0,0.36
7.84,0,0.42
8,0,0.48
8.96,1,0.86
9.24,1,0.9
8.88,1,0.79
8.46,1,0.71
8.12,0,0.64
8.25,0,0.62
8.47,0,0.57
9.05,1,0.74
8.78,1,0.69
9.18,1,0.87
9.46,1,0.91
9.38,1,0.93
8.64,0,0.68
8.48,0,0.61
8.68,1,0.69
8.34,1,0.62
8.56,0,0.72
8.45,1,0.59
9.04,1,0.66
8.62,0,0.56
7.46,0,0.45
7.28,0,0.47
8.84,1,0.71
9.56,1,0.94
9.48,1,0.94
8.36,0,0.57
8.22,0,0.61
8.47,0,0.57
8.66,1,0.64
9.32,1,0.85
8.71,1,0.78
9.1,1,0.84
9.35,1,0.92
9.76,1,0.96
8.65,0,0.77
8.56,0,0.71
8.78,0,0.79
9.28,1,0.89
8.77,1,0.82
8.45,0,0.76
8.16,1,0.71
9.08,1,0.8
9.12,0,0.78
9.15,1,0.84
9.36,1,0.9
9.44,1,0.92
9.92,1,0.97
8.96,1,0.8
8.64,1,0.81
8.48,0,0.75
9.11,1,0.83
9.8,1,0.96
8.26,1,0.79
9.43,1,0.93
9.28,1,0.94
9.06,1,0.86
8.75,0,0.79
8.89,0,0.8
8.69,0,0.77
8.34,0,0.7
8.26,0,0.65
8.14,0,0.61
7.9,0,0.52
7.86,0,0.57
7.46,0,0.53
8.5,0,0.67
8.56,0,0.68
9.01,1,0.81
8.97,0,0.78
8.33,0,0.65
8.27,0,0.64
7.8,1,0.64
7.98,0,0.65
8.04,1,0.68
9.07,1,0.89
9.13,1,0.86
9.23,1,0.89
8.97,1,0.87
8.87,1,0.85
9.16,1,0.9
9.04,0,0.82
8.12,0,0.72
8.27,0,0.73
8.16,0,0.71
8.42,0,0.71
7.88,0,0.68
8.8,0,0.75
8.32,0,0.72
9.11,1,0.89
8.68,1,0.84
9.44,1,0.93
9.36,1,0.93
9.08,1,0.88
9.16,1,0.9
8.98,1,0.87
8.94,1,0.86
9.53,1,0.94
8.76,0,0.77
8.52,1,0.78
8.26,0,0.73
8.33,0,0.73
8.43,0,0.7
8.69,0,0.72
8.54,1,0.73
8.46,1,0.72
9.91,1,0.97
9.87,1,0.97
8.54,0,0.69
7.65,0,0.57
7.89,0,0.63
8.02,1,0.66
8.16,0,0.64
8.12,1,0.68
9.06,1,0.79
9.14,1,0.82
9.66,1,0.95
9.78,1,0.96
9.42,1,0.94
9.36,1,0.93
9.26,1,0.91
9.13,1,0.85
8.97,1,0.84
8.42,0,0.74
8.75,0,0.76
8.56,0,0.75
8.79,0,0.76
