Date,Perc_Chg,Group
2/1/00,-0.0742,Dow
3/1/00,0.0784,Dow
4/1/00,-0.0172,Dow
5/1/00,-0.0197,Dow
6/1/00,-0.0071,Dow
7/1/00,0.0071,Dow
8/1/00,0.0659,Dow
9/1/00,-0.0503,Dow
10/1/00,0.0301,Dow
11/1/00,-0.0507,Dow
12/1/00,0.0359,Dow
1/1/01,0.0092,Dow
2/1/01,-0.036,Dow
3/1/01,-0.0587,Dow
4/1/01,0.0867,Dow
5/1/01,0.0165,Dow
6/1/01,-0.0375,Dow
7/1/01,0.0019,Dow
8/1/01,-0.0545,Dow
9/1/01,-0.1108,Dow
10/1/01,0.0257,Dow
11/1/01,0.0856,Dow
12/1/01,0.0173,Dow
1/1/02,-0.0101,Dow
2/1/02,0.0188,Dow
3/1/02,0.0295,Dow
4/1/02,-0.044,Dow
5/1/02,-0.0021,Dow
6/1/02,-0.0687,Dow
7/1/02,-0.0548,Dow
8/1/02,-0.0084,Dow
9/1/02,-0.1237,Dow
10/1/02,0.106,Dow
11/1/02,0.0594,Dow
12/1/02,-0.0623,Dow
1/1/03,-0.0345,Dow
2/1/03,-0.0202,Dow
3/1/03,0.0128,Dow
4/1/03,0.0611,Dow
5/1/03,0.0437,Dow
6/1/03,0.0153,Dow
7/1/03,0.0276,Dow
8/1/03,0.0197,Dow
9/1/03,-0.0149,Dow
10/1/03,0.0567,Dow
11/1/03,-0.0019,Dow
12/1/03,0.0686,Dow
1/1/04,0.0033,Dow
2/1/04,0.0091,Dow
3/1/04,-0.0214,Dow
4/1/04,-0.0128,Dow
5/1/04,-0.0036,Dow
6/1/04,0.0242,Dow
7/1/04,-0.0283,Dow
8/1/04,0.0034,Dow
9/1/04,-0.0092,Dow
10/1/04,-0.0052,Dow
11/1/04,0.0399,Dow
12/1/04,0.034,Dow
1/1/05,-0.0272,Dow
2/1/05,0.0263,Dow
3/1/05,-0.0244,Dow
4/1/05,-0.0296,Dow
5/1/05,0.027,Dow
6/1/05,-0.0184,Dow
7/1/05,0.0356,Dow
8/1/05,-0.015,Dow
9/1/05,0.0083,Dow
10/1/05,-0.0122,Dow
11/1/05,0.035,Dow
12/1/05,-0.0082,Dow
1/1/06,0.0137,Dow
2/1/06,0.0118,Dow
3/1/06,0.0105,Dow
4/1/06,0.0232,Dow
5/1/06,-0.0175,Dow
6/1/06,-0.0016,Dow
7/1/06,0.0032,Dow
8/1/06,0.0175,Dow
9/1/06,0.0262,Dow
10/1/06,0.0344,Dow
11/1/06,0.0117,Dow
12/1/06,0.0197,Dow
1/1/07,0.0127,Dow
2/1/07,-0.028,Dow
3/1/07,0.007,Dow
4/1/07,0.0574,Dow
5/1/07,0.0432,Dow
6/1/07,-0.0161,Dow
7/1/07,-0.0147,Dow
8/1/07,0.011,Dow
9/1/07,0.0403,Dow
