"","GPA","healthy_feeling"
"2","3.654",5
"3","3.3",6
"4","3.2",7
"5","3.5",6
"7","3.8",4
"8","3.3",3
"9","3.3",7
"10","3.3",3
"11","3.5",9
"12","3.904",1
"13","3.4",9
"14","3.6",8
"15","3.1",2
"17","4",7
"18","3.6",8
"19","3.4",6
"21","3.3",5
"22","3.87",8
"23","3.7",2
"24","3.7",4
"25","3.9",5
"26","2.8",8
"27","3.7",9
"28","3",9
"29","3.2",4
"30","3.5",9
"31","4",7
"32","4",5
"33","3.4",5
"34","2.8",7
"35","3.65",1
"36","3",2
"37","3.7",7
"38","3.4",4
"39","3.89",6
"40","3",3
"41","3.4",10
"42","2.9",6
"43","3.6",6
"44","3.5",6
"45","3.2",8
"46","3.605",3
"47","3.8",4
"48","2.8",8
"49","3.5",2
"50","3.83",9
"51","3.6",8
"52","3.3",8
"53","3.3",1
"54","3.292",5
"55","3.5",10
"56","3.35",8
"57","3.8",1
"58","2.8",9
"59","3.5",4
"60","3.7",7
"61","3.6",3
"63","3.9",2
"64","2.6",8
"65","3.5",3
"66","3.2",3
"67","3",3
"68","3.6",2
"69","3.2",8
"70","3.67",3
"71","3.73",3
"72","4",5
"73","3.1",3
"75","2.71",8
"76","3",6
"77","3.7",4
"78","3.1",4
"79","3",8
"80","3.9",1
"81","3.4",4
"82","3.5",2
"83","3.7",8
"84","3.7",4
"85","3.83",9
"86","2.6",7
"87","3",3
"88","3.2",5
"89","3.5",7
"90","3.2",7
"91","3.68",7
"92","3.8",5
"93","3.3",8
"94","3.2",6
"95","3.75",7
"96","3.5",10
"97","3.92",2
"98","3.9",1
"99","3.9",8
"100","3.2",3
"101","3.5",2
"102","3.4",3
"104","3.7",4
"106","3",2
"107","3",7
"108","3.8",5
"109","3.8",6
"110","3.4",5
"111","3.7",8
"112","2.9",9
"113","3.9",10
"114","3.6",9
"115","2.8",7
"116","3.3",10
"117","3.4",5
"118","3.77",9
"119","3.63",5
"120","3.2",7
"121","3.5",5
"122","3",5
"123","3.882",6
"124","3",1
"125","3.9",3
