"","Gender","Age","Stay_In_Current_City_Years","Marital_Status","Purchase","Purchase_Level","Gender_Temp"
"1","F",1,2,0,8370,0,0
"2","F",1,2,0,15200,1,0
"3","F",1,2,0,1422,0,0
"4","F",1,2,0,1057,0,0
"5","M",7,5,0,7969,0,1
"6","M",3,3,0,15227,1,1
"7","M",5,2,1,19215,1,1
"8","M",5,2,1,15854,1,1
"9","M",5,2,1,15686,1,1
"10","M",3,1,1,7871,0,1
"11","M",3,1,1,5254,0,1
"12","M",3,1,1,3957,0,1
"13","M",3,1,1,6073,0,1
"14","M",3,1,1,15665,1,1
"15","F",6,1,0,5378,0,0
"16","F",6,1,0,2079,0,0
"17","F",6,1,0,13055,0,0
"18","F",6,1,0,8851,0,0
"19","M",4,1,1,11788,0,1
"20","M",3,5,1,19614,1,1
"21","M",3,5,1,8584,0,1
"22","M",3,5,1,9872,0,1
"23","M",3,5,1,9743,0,1
"24","M",3,5,1,5982,0,1
"25","M",3,5,1,11927,0,1
"26","M",3,0,0,16662,1,1
"27","M",3,0,0,5887,0,1
"28","M",3,0,0,6973,0,1
"29","M",3,0,0,5391,0,1
"30","F",4,5,1,16352,1,0
"31","F",4,5,1,8886,0,0
"32","F",4,5,1,5875,0,0
"33","F",4,5,1,8854,0,0
"34","F",4,5,1,10946,0,0
"35","F",4,5,1,5152,0,0
"36","F",4,5,1,7089,0,0
"37","F",4,5,1,12909,0,0
"38","F",4,5,1,8770,0,0
"39","F",4,5,1,15212,1,0
"40","F",4,5,1,15705,1,0
"41","F",4,5,1,7947,0,0
"42","F",4,5,1,18963,1,0
"43","F",4,5,1,8718,0,0
"44","F",4,5,1,16406,1,0
"45","F",4,5,1,12642,0,0
"46","F",4,5,1,10007,0,0
"47","F",4,5,1,11562,0,0
"48","F",3,1,0,6171,0,0
"49","F",3,1,0,19327,1,0
"50","F",3,1,0,8027,0,0
"51","M",3,2,0,15246,1,1
"52","M",3,2,0,6865,0,1
"53","M",5,3,1,5839,0,1
"54","M",5,3,1,15912,1,1
"55","M",5,3,1,12107,0,1
"56","M",4,0,0,5848,0,1
"57","M",3,1,0,19653,1,1
"58","M",3,1,0,5958,0,1
"59","M",3,1,0,11415,0,1
"60","M",3,1,0,5380,0,1
"61","M",3,1,0,3594,0,1
"62","M",3,1,0,4209,0,1
"63","M",3,1,0,5407,0,1
"64","M",3,1,0,7803,0,1
"65","M",3,1,0,11458,0,1
"66","F",4,0,1,11755,0,0
"67","F",4,0,1,8702,0,0
"68","M",6,0,0,15872,1,1
"69","M",6,0,0,8609,0,1
"70","M",6,0,0,15172,1,1
"71","F",2,3,0,1780,0,0
"72","F",2,3,0,10754,0,0
"73","F",2,3,0,2802,0,0
"74","F",2,3,0,19473,1,0
"75","F",2,3,0,19672,1,0
"76","F",2,3,0,19313,1,0
"77","F",2,3,0,15182,1,0
"78","F",2,3,0,15985,1,0
"79","F",2,3,0,16454,1,0
"80","F",2,3,0,13551,0,0
"81","F",2,3,0,697,0,0
"82","F",2,3,0,7030,0,0
"83","F",2,3,0,5430,0,0
"84","F",2,3,0,8011,0,0
"85","F",2,3,0,5912,0,0
"86","M",1,3,0,7746,0,1
"87","M",1,3,0,19525,1,1
"88","M",1,3,0,11959,0,1
"89","M",1,3,0,19172,1,1
"90","M",1,3,0,8773,0,1
"91","M",1,3,0,11023,0,1
"92","M",1,3,0,4654,0,1
"93","M",1,3,0,4664,0,1
"94","M",1,3,0,8290,0,1
"95","M",1,3,0,7011,0,1
