College,COUNT_WNE_MALE0_P10,COUNT_WNE_MALE1_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,COUNT_WNE_MALE0_P6,COUNT_WNE_MALE1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6
Azusa Pacific University,1485,701,51700,64700,1293,625,46200,52600
Baker College,11694,4863,28400,40200,13538,6860,25000,32600
Coppin State University,799,278,40800,44500,793,286,31600,32000
Davenport University,4546,1568,31800,46000,2875,1599,31000,42500
Eastern Illinois University,2084,1537,40400,53700,2017,1581,33600,38000
Florida Career College-Miami,2204,1215,25300,33600,2791,1651,21200,24700
Georgia Southern University,2134,2258,41100,50900,2081,2402,33300,39800
Hagerstown Community College,564,304,34000,42500,721,460,27200,33500
Indiana University-East,608,297,31400,41600,533,330,30000,36300
Jacksonville State University,1373,996,34500,43000,1396,1082,29800,34500
Kaplan University-Mason City Campus,12542,4500,35400,53100,37413,13103,26300,37200
Lake Land College,1012,610,26600,42100,887,644,24100,34400
Metropolitan State University of Denver,3151,2596,39600,49800,3319,2910,33500,39000
Nova Southeastern University,1683,611,50800,68800,1668,637,46000,52400
San Diego State University,4433,2803,51500,62800,4464,3174,39000,45200
San Francisco State University,4164,2588,51900,59300,3943,2714,41100,43600
The Art Institute of Colorado,949,1239,34900,39900,710,709,27800,31600
The Art Institute of Fort Lauderdale,976,961,32400,38000,914,817,27600,30200
Upper Iowa University,1164,644,41800,52300,1363,826,37500,47300
Valdosta State University,1761,1193,37900,47100,1826,1251,31400,35700
Valencia College,4159,2733,34000,41400,5815,4261,27700,31100
Vanguard University of Southern California,494,261,43400,59000,401,295,38100,44200
Vincennes University,1414,1812,29200,41900,1416,1927,25200,33500
Washburn Institute of Technology,1516,852,40200,49500,1126,730,34800,38100
Wichita State University,1895,1309,39400,54100,1755,1322,35200,43700
Wor-Wic Community College,626,266,29900,35100,706,409,25200,28300
Xavier University of Louisiana,975,325,63300,68000,533,218,44800,51200
Yale University,670,677,100200,148300,353,377,64900,70500
