Year,Race,Sex,AverageLifeExpectancy ,AgeAdjustedDeathRate
2014,All Races,Both Sexes,78.9,724.6
2013,All Races,Both Sexes,78.8,731.9
2012,All Races,Both Sexes,78.8,732.8
2011,All Races,Both Sexes,78.7,741.3
2010,All Races,Both Sexes,78.7,747
2009,All Races,Both Sexes,78.5,749.6
2008,All Races,Both Sexes,78.2,774.9
2007,All Races,Both Sexes,78.1,775.3
2006,All Races,Both Sexes,77.8,791.8
2005,All Races,Both Sexes,77.6,815
2004,All Races,Both Sexes,77.5,813.7
2003,All Races,Both Sexes,77.6,843.5
2002,All Races,Both Sexes,77,855.9
2001,All Races,Both Sexes,77,858.8
2000,All Races,Both Sexes,76.8,869
1999,All Races,Both Sexes,76.7,875.6
1998,All Races,Both Sexes,76.7,870.1
1997,All Races,Both Sexes,76.5,877.7
1996,All Races,Both Sexes,76.1,893.7
1995,All Races,Both Sexes,75.8,909.5
1994,All Races,Both Sexes,75.7,913.2
1993,All Races,Both Sexes,75.5,925.8
1992,All Races,Both Sexes,75.8,905.3
1991,All Races,Both Sexes,75.5,921.9
1990,All Races,Both Sexes,75.4,938
1989,All Races,Both Sexes,75.1,949.9
1988,All Races,Both Sexes,74.9,975.1
1987,All Races,Both Sexes,74.9,969.6
1986,All Races,Both Sexes,74.7,978.4
1985,All Races,Both Sexes,74.7,987.8
1984,All Races,Both Sexes,74.7,982.1
1983,All Races,Both Sexes,74.6,990
1982,All Races,Both Sexes,74.5,984.9
1981,All Races,Both Sexes,74.1,1007
1980,All Races,Both Sexes,73.7,1038.7
1979,All Races,Both Sexes,73.9,1010.6
1978,All Races,Both Sexes,73.5,1043.7
1977,All Races,Both Sexes,73.3,1051.6
1976,All Races,Both Sexes,72.9,1084.1
1975,All Races,Both Sexes,72.6,1094.4
1974,All Races,Both Sexes,72,1151.8
1973,All Races,Both Sexes,71.4,1201.2
1972,All Races,Both Sexes,71.2,1214.8
1971,All Races,Both Sexes,71.1,1213.1
1970,All Races,Both Sexes,70.8,1222.6
1969,All Races,Both Sexes,70.5,1271.8
1968,All Races,Both Sexes,70.2,1304.5
1967,All Races,Both Sexes,70.5,1274
1966,All Races,Both Sexes,70.2,1309
1965,All Races,Both Sexes,70.2,1306.5
