Country,Sex,Suicides.100k,HDI,GDP,Generation
Australia,male,23.34,0.935,66809,Millenials
Australia,male,20.67,0.935,66809,Boomers
Australia,male,16.89,0.935,66809,Millenials
Australia,female,8.68,0.935,66809,Generation X
Australia,female,6.93,0.935,66809,Millenials
Australia,female,6.7,0.935,66809,Boomers
Australia,female,6.31,0.935,66809,Millenials
Australia,female,5.2,0.935,66809,Silent
Australia,female,1.06,0.935,66809,Generation Z
Australia,male,0.4,0.935,66809,Generation Z
Denmark,male,22.7,0.923,66114,Generation X
Denmark,female,14.46,0.923,66114,Silent
Denmark,male,12.89,0.923,66114,Millenials
Denmark,male,8.37,0.923,66114,Millenials
Denmark,female,7.62,0.923,66114,Generation X
Denmark,female,7.5,0.923,66114,Boomers
Denmark,female,2.15,0.923,66114,Millenials
Denmark,female,1.98,0.923,66114,Millenials
Denmark,female,0.31,0.923,66114,Generation Z
Denmark,male,0.29,0.923,66114,Generation Z
Ireland,male,23.67,0.916,59634,Millenials
Ireland,male,23.54,0.916,59634,Millenials
Ireland,male,19.21,0.916,59634,Boomers
Ireland,male,7.75,0.916,59634,Silent
Ireland,female,5.75,0.916,59634,Generation X
Ireland,female,5.66,0.916,59634,Millenials
Ireland,female,4.21,0.916,59634,Millenials
Ireland,female,3.47,0.916,59634,Boomers
Ireland,female,1.41,0.916,59634,Silent
Ireland,male,0.6,0.916,59634,Generation Z
Ireland,female,0,0.916,59634,Generation Z
Iceland,male,16.54,0.899,56833,Millenials
Iceland,male,16.38,0.899,56833,Generation X
Iceland,female,9.38,0.899,56833,Generation X
Iceland,female,9.06,0.899,56833,Silent
Iceland,female,8.81,0.899,56833,Millenials
Iceland,female,8.7,0.899,56833,Millenials
Iceland,female,6.46,0.899,56833,Boomers
Iceland,female,0,0.899,56833,Generation Z
Iceland,male,0,0.899,56833,Generation Z
Austria,female,17.4,0.885,54278,Silent
Austria,male,17.36,0.885,54278,Millenials
Austria,male,15.29,0.885,54278,Millenials
Austria,female,10.87,0.885,54278,Boomers
