Serial No.,GRE ,TOEFL,URating,CGPA,Chance of Admit 
1,337,118,4,9.65,0.92
2,324,107,4,8.87,0.76
3,316,104,3,8,0.72
4,322,110,3,8.67,0.8
5,314,103,2,8.21,0.65
6,330,115,5,9.34,0.9
7,321,109,3,8.2,0.75
8,308,101,2,7.9,0.68
9,302,102,1,8,0.5
12,327,111,4,9,0.84
13,328,112,4,9.1,0.78
14,307,109,3,8,0.62
15,311,104,3,8.2,0.61
16,314,105,3,8.3,0.54
17,317,107,3,8.7,0.66
18,319,106,3,8,0.65
19,318,110,3,8.8,0.63
20,303,102,3,8.5,0.62
21,312,107,3,7.9,0.64
22,325,114,4,8.4,0.7
23,328,116,5,9.5,0.94
24,334,119,5,9.7,0.95
25,336,119,5,9.8,0.97
26,340,120,5,9.6,0.94
27,322,109,5,8.8,0.76
28,298,98,2,7.5,0.44
29,295,93,1,7.2,0.46
30,310,99,2,7.3,0.54
31,300,97,2,8.1,0.65
32,327,103,3,8.3,0.74
33,338,118,4,9.4,0.91
34,340,114,5,9.6,0.9
35,331,112,5,9.8,0.94
36,320,110,5,9.2,0.88
37,299,106,2,8.4,0.64
38,300,105,1,7.8,0.58
39,304,105,1,7.5,0.52
40,307,108,2,7.7,0.48
42,316,105,2,8.2,0.49
43,313,107,2,8.5,0.53
44,332,117,4,9.1,0.87
45,326,113,5,9.4,0.91
46,322,110,5,9.1,0.88
47,329,114,5,9.3,0.86
48,339,119,5,9.7,0.89
49,321,110,3,8.85,0.82
50,327,111,4,8.4,0.78
52,312,100,2,7.9,0.56
54,324,112,4,8.1,0.72
55,322,110,3,8,0.7
56,320,103,3,7.7,0.64
58,298,99,2,7.6,0.46
59,300,99,1,6.8,0.36
61,309,100,2,8.1,0.48
62,307,101,3,8.2,0.47
63,304,105,2,8.2,0.54
64,315,107,2,8.5,0.56
68,316,107,2,8.64,0.57
70,328,115,4,9.16,0.78
71,332,118,5,9.64,0.94
72,336,112,5,9.76,0.96
73,321,111,5,9.45,0.93
74,314,108,4,9.04,0.84
75,314,106,3,8.9,0.74
76,329,114,2,8.56,0.72
77,327,112,3,8.72,0.74
78,301,99,2,8.22,0.64
79,296,95,2,7.54,0.44
80,294,93,1,7.36,0.46
81,312,105,3,8.02,0.5
82,340,120,4,9.5,0.96
83,320,110,5,9.22,0.92
