city,direction,dist,depth
bingol,west,0.1,10
kocaeli,west,0.1,5.2
manisa,south_west,0.1,0
sivas,south_west,0.1,10
sakarya,south_west,0.1,7
mugla,south_west,0.1,32.8
van,south_west,0.1,9.4
balikesir,south_east,0.1,26
kirikkale,south_east,0.1,1
van,south_east,0.1,3.1
kahramanmaras,south_east,0.1,9.5
mugla,south,0.1,9
adiyaman,south,0.1,13
duzce,south,0.1,9
antalya,north_west,0.1,15
kutahya,north_west,0.1,7.2
burdur,north_east,0.1,5
manisa,north_east,0.1,4
erzincan,north_east,0.1,26
hatay,north_east,0.1,22
mus,east,0.1,14
denizli,east,0.1,5
denizli,east,0.1,6
manisa,west,0.2,5
canakkale,west,0.2,14
bolu,west,0.2,4
erzincan,west,0.2,3.3
mus,south_west,0.2,50
sakarya,south_west,0.2,31
mugla,south_west,0.2,54
manisa,south_west,0.2,9
kutahya,south_west,0.2,0
manisa,south_west,0.2,10
tokat,south_west,0.2,31
hatay,south_west,0.2,18
duzce,south_west,0.2,2
denizli,south_west,0.2,8
van,south_west,0.2,9
sanliurfa,south_west,0.2,9.5
corum,south_west,0.2,8.5
balikesir,south_west,0.2,7.2
canakkale,south_west,0.2,12
burdur,south_east,0.2,34
izmir,south_east,0.2,5
kutahya,south_east,0.2,24
sakarya,south_east,0.2,0
gumushane,south_east,0.2,11
manisa,south_east,0.2,4
mugla,south_east,0.2,5
amasya,south_east,0.2,2
batman,south_east,0.2,0
cankiri,south_east,0.2,1
sakarya,south_east,0.2,11
osmaniye,south_east,0.2,14
manisa,south_east,0.2,8
elazig,south_east,0.2,5.3
elazig,south_east,0.2,5
canakkale,south_east,0.2,10.8
canakkale,south,0.2,10
izmir,south,0.2,5
elazig,south,0.2,7
izmir,south,0.2,17.7
sakarya,north_west,0.2,33
kutahya,north_west,0.2,10
kutahya,north_west,0.2,22
van,north_west,0.2,28
bursa,north_west,0.2,7
erzurum,north_west,0.2,45
bingol,north_west,0.2,22
duzce,north_west,0.2,16
van,north_west,0.2,9
erzurum,north_west,0.2,10
tokat,north_west,0.2,5
erzurum,north_west,0.2,5
van,north_west,0.2,6
balikesir,north_west,0.2,1.7
canakkale,north_west,0.2,12.4
bursa,north_east,0.2,5
aydin,north_east,0.2,19
mugla,north_east,0.2,9
mugla,north_east,0.2,10
izmir,north_east,0.2,10
mugla,north_east,0.2,5
zonguldak,north_east,0.2,4
kocaeli,north_east,0.2,16
duzce,north_east,0.2,10
duzce,north_east,0.2,10
sakarya,north_east,0.2,7
karabuk,north_east,0.2,9
samsun,north_east,0.2,10.9
kutahya,north_east,0.2,4.8
van,north_east,0.2,5
van,north_east,0.2,5
kahramanmaras,north_east,0.2,3
van,north_east,0.2,2.1
malatya,north,0.2,7.2
amasya,east,0.2,3
karabuk,west,0.3,20
tekirdag,west,0.3,5
manisa,west,0.3,10
bursa,west,0.3,8
balikesir,west,0.3,7.7
sakarya,south_west,0.3,10
kutahya,south_west,0.3,2
manisa,south_west,0.3,8
izmir,south_west,0.3,31
amasya,south_west,0.3,7
malatya,south_west,0.3,4
van,south_west,0.3,6
kahramanmaras,south_west,0.3,10.5
kahramanmaras,south_west,0.3,10.8
aydin,south_east,0.3,40
burdur,south_east,0.3,0
kutahya,south_east,0.3,10
igdir,south_east,0.3,33
manisa,south_east,0.3,2
mugla,south_east,0.3,10
duzce,south_east,0.3,10
duzce,south_east,0.3,5
kirikkale,south_east,0.3,14
hakkari,south_east,0.3,7.8
elazig,south_east,0.3,3.1
kahramanmaras,south_east,0.3,8.9
ankara,south_east,0.3,5
van,south_east,0.3,6
kutahya,south_east,0.3,5
sirnak,south_east,0.3,3.4
sakarya,south_east,0.3,13.8
kahramanmaras,south_east,0.3,7.7
sakarya,south,0.3,14
elazig,south,0.3,0
aydin,south,0.3,5
diyarbakir,south,0.3,5
kutahya,south,0.3,9.9
kirsehir,north_west,0.3,30
van,north_west,0.3,42
van,north_west,0.3,42
cankiri,north_west,0.3,33
kutahya,north_west,0.3,10
kutahya,north_west,0.3,0
balikesir,north_west,0.3,9
bursa,north_west,0.3,8
izmir,north_west,0.3,9
afyonkarahisar,north_west,0.3,6
sivas,north_west,0.3,8
duzce,north_west,0.3,8
malatya,north_west,0.3,6
elazig,north_west,0.3,10
sivas,north_west,0.3,3.7
kastamonu,north_west,0.3,5
manisa,north_west,0.3,4.5
sivas,north_west,0.3,2.5
bursa,north_east,0.3,10
kutahya,north_east,0.3,30
kutahya,north_east,0.3,29
burdur,north_east,0.3,8
kutahya,north_east,0.3,16
balikesir,north_east,0.3,10
burdur,north_east,0.3,0
bartin,north_east,0.3,10
denizli,north_east,0.3,6
manisa,north_east,0.3,10
balikesir,north_east,0.3,1
aydin,north_east,0.3,12
denizli,north_east,0.3,9
denizli,north_east,0.3,8
sakarya,north_east,0.3,5
duzce,north_east,0.3,25
sakarya,north_east,0.3,10
konya,north_east,0.3,4
bingol,north_east,0.3,5
mugla,north_east,0.3,5
isparta,north_east,0.3,16
mugla,north_east,0.3,6.4
balikesir,north_east,0.3,6.8
bolu,north_east,0.3,5
kutahya,north_east,0.3,5.4
manisa,north_east,0.3,8.4
aydin,north,0.3,0
kars,north,0.3,10
afyonkarahisar,north,0.3,7
van,north,0.3,5
canakkale,north,0.3,5.2
kutahya,east,0.3,35
agri,east,0.3,38
kutahya,east,0.3,4
sakarya,east,0.3,6
bitlis,east,0.3,5
batman,west,0.4,100
bingol,west,0.4,8
sakarya,west,0.4,11
elazig,west,0.4,8.5
canakkale,west,0.4,9.7
sanliurfa,west,0.4,10.8
adiyaman,west,0.4,18.5
diyarbakir,south_west,0.4,2
izmir,south_west,0.4,0
konya,south_west,0.4,0
aydin,south_west,0.4,33
balikesir,south_west,0.4,11
manisa,south_west,0.4,7
isparta,south_west,0.4,5
kutahya,south_west,0.4,11
tunceli,south_west,0.4,2
malatya,south_west,0.4,0
duzce,south_west,0.4,9
sakarya,south_west,0.4,12
duzce,south_west,0.4,9
bingol,south_west,0.4,5
konya,south_west,0.4,5.1
van,south_west,0.4,3.9
adiyaman,south_west,0.4,7.9
manisa,south_west,0.4,16
van,south_west,0.4,2.1
van,south_west,0.4,5.5
istanbul,south_east,0.4,10
kutahya,south_east,0.4,17
burdur,south_east,0.4,43
kocaeli,south_east,0.4,5
izmir,south_east,0.4,5
kutahya,south_east,0.4,33
bursa,south_east,0.4,10
malatya,south_east,0.4,19
diyarbakir,south_east,0.4,33
erzincan,south_east,0.4,10
diyarbakir,south_east,0.4,15
antalya,south_east,0.4,31
amasya,south_east,0.4,3
sivas,south_east,0.4,0
balikesir,south_east,0.4,7
duzce,south_east,0.4,16
duzce,south_east,0.4,6
duzce,south_east,0.4,10
denizli,south_east,0.4,5
bingol,south_east,0.4,7
malatya,south_east,0.4,9.4
sakarya,south_east,0.4,8.7
diyarbakir,south_east,0.4,5
diyarbakir,south_east,0.4,12
malatya,south_east,0.4,5
kastamonu,south_east,0.4,8.4
mus,south_east,0.4,12.9
bitlis,south_east,0.4,6.9
burdur,south,0.4,25
afyonkarahisar,south,0.4,8
duzce,south,0.4,9
van,south,0.4,10
duzce,south,0.4,10
antalya,south,0.4,22
van,south,0.4,5
kocaeli,north_west,0.4,33
manisa,north_west,0.4,56
kutahya,north_west,0.4,33
balikesir,north_west,0.4,0
balikesir,north_west,0.4,0
aydin,north_west,0.4,11
erzurum,north_west,0.4,32
bursa,north_west,0.4,10
mugla,north_west,0.4,1
yalova,north_west,0.4,10
mugla,north_west,0.4,8
mugla,north_west,0.4,6
aydin,north_west,0.4,9
elazig,north_west,0.4,1
bingol,north_west,0.4,0
yozgat,north_west,0.4,5
erzurum,north_west,0.4,1
balikesir,north_west,0.4,15
mugla,north_west,0.4,14.2
bitlis,north_west,0.4,9.5
mugla,north_west,0.4,3.2
manisa,north_west,0.4,10.5
kutahya,north_west,0.4,5.4
van,north_west,0.4,5
adana,north_west,0.4,8.6
bingol,north_west,0.4,5
cankiri,north_east,0.4,10
tunceli,north_east,0.4,53
canakkale,north_east,0.4,0
canakkale,north_east,0.4,10
cankiri,north_east,0.4,10
mugla,north_east,0.4,10
hatay,north_east,0.4,23
tokat,north_east,0.4,2
konya,north_east,0.4,2.6
konya,north_east,0.4,3.2
kutahya,north_east,0.4,7.6
kahramanmaras,north_east,0.4,8.8
sakarya,north_east,0.4,2.8
bolu,north_east,0.4,7.6
kutahya,north,0.4,25
amasya,north,0.4,10
izmir,east,0.4,10
bursa,east,0.4,15
afyonkarahisar,east,0.4,0
afyonkarahisar,east,0.4,3
duzce,east,0.4,10
duzce,east,0.4,5
erzincan,east,0.4,5
erzurum,east,0.4,7
cankiri,west,0.5,40
cankiri,west,0.5,13
mus,west,0.5,52
sakarya,west,0.5,23
yozgat,west,0.5,10
osmaniye,west,0.5,10
elazig,west,0.5,0
mugla,west,0.5,23
erzurum,west,0.5,10
corum,west,0.5,1
bingol,west,0.5,5
van,west,0.5,5
manisa,west,0.5,11.8
sakarya,south_west,0.5,10
sakarya,south_west,0.5,10
sakarya,south_west,0.5,10
sakarya,south_west,0.5,6
sakarya,south_west,0.5,10
sakarya,south_west,0.5,10
sakarya,south_west,0.5,10
antalya,south_west,0.5,5
izmir,south_west,0.5,0
canakkale,south_west,0.5,0
denizli,south_west,0.5,10
bursa,south_west,0.5,11
ankara,south_west,0.5,10
izmir,south_west,0.5,17
amasya,south_west,0.5,3
amasya,south_west,0.5,2
izmir,south_west,0.5,19
duzce,south_west,0.5,10
duzce,south_west,0.5,4
adana,south_west,0.5,9
balikesir,south_west,0.5,7
izmir,south_west,0.5,10
elazig,south_west,0.5,10
mugla,south_west,0.5,8.5
elazig,south_west,0.5,5.4
kutahya,south_west,0.5,4.2
erzincan,south_west,0.5,5
van,south_west,0.5,5
van,south_west,0.5,5
van,south_west,0.5,8
kahramanmaras,south_west,0.5,8
elazig,south_west,0.5,1.4
aydin,south_east,0.5,101
balikesir,south_east,0.5,12
usak,south_east,0.5,7
kutahya,south_east,0.5,16
kutahya,south_east,0.5,5
kutahya,south_east,0.5,5
bingol,south_east,0.5,51
burdur,south_east,0.5,13
manisa,south_east,0.5,12
amasya,south_east,0.5,5
bartin,south_east,0.5,1
gumushane,south_east,0.5,13
elazig,south_east,0.5,10
bingol,south_east,0.5,10.5
sirnak,south_east,0.5,7.9
denizli,south_east,0.5,3.7
hatay,south_east,0.5,8.6
bitlis,south_east,0.5,5.4
van,south_east,0.5,5
van,south_east,0.5,5
manisa,south_east,0.5,9.5
kastamonu,south,0.5,40
balikesir,south,0.5,34
balikesir,south,0.5,8
balikesir,south,0.5,2
canakkale,south,0.5,11
adana,south,0.5,2
hatay,south,0.5,10
amasya,south,0.5,0
mugla,south,0.5,20
kastamonu,south,0.5,3
bitlis,south,0.5,9.7
elazig,south,0.5,5
bitlis,north_west,0.5,10
cankiri,north_west,0.5,10
cankiri,north_west,0.5,10
cankiri,north_west,0.5,10
sakarya,north_west,0.5,26
kutahya,north_west,0.5,59
usak,north_west,0.5,47
denizli,north_west,0.5,12
aydin,north_west,0.5,0
sakarya,north_west,0.5,9
isparta,north_west,0.5,5
bursa,north_west,0.5,5
amasya,north_west,0.5,5
denizli,north_west,0.5,0
duzce,north_west,0.5,3
sakarya,north_west,0.5,7
izmir,north_west,0.5,5
mus,north_west,0.5,10
mugla,north_west,0.5,12
izmir,north_west,0.5,5
kutahya,north_west,0.5,5
van,north_west,0.5,5.4
van,north_west,0.5,9
corum,north_west,0.5,15.3
erzincan,north_west,0.5,5
canakkale,north_east,0.5,30
canakkale,north_east,0.5,30
canakkale,north_east,0.5,30
balikesir,north_east,0.5,10
mus,north_east,0.5,10
bartin,north_east,0.5,11
konya,north_east,0.5,33
konya,north_east,0.5,26
balikesir,north_east,0.5,33
burdur,north_east,0.5,5
canakkale,north_east,0.5,5
canakkale,north_east,0.5,0
edirne,north_east,0.5,0
kocaeli,north_east,0.5,9
antalya,north_east,0.5,26
cankiri,north_east,0.5,0
sakarya,north_east,0.5,0
cankiri,north_east,0.5,21
denizli,north_east,0.5,0
osmaniye,north_east,0.5,10
bingol,north_east,0.5,10
diyarbakir,north_east,0.5,12
bingol,north_east,0.5,4
bingol,north_east,0.5,11
tokat,north_east,0.5,5
yalova,north_east,0.5,7.7
kahramanmaras,north_east,0.5,9.3
kutahya,north_east,0.5,5
kutahya,north_east,0.5,6
van,north_east,0.5,6.2
van,north_east,0.5,5
diyarbakir,north_east,0.5,5
agri,north_east,0.5,4.8
manisa,north_east,0.5,8.4
balikesir,north_east,0.5,5.4
bartin,north,0.5,10
bursa,north,0.5,0
manisa,north,0.5,0
mus,north,0.5,7
yalova,north,0.5,9
yalova,north,0.5,10
balikesir,north,0.5,11
bingol,north,0.5,5
mugla,north,0.5,5
kastamonu,east,0.5,10
mugla,east,0.5,24
burdur,east,0.5,5
burdur,east,0.5,16
burdur,east,0.5,19
van,east,0.5,8
bingol,east,0.5,3
balikesir,east,0.5,12.2
burdur,west,0.6,49
diyarbakir,west,0.6,39
malatya,west,0.6,10
kutahya,west,0.6,1
mugla,west,0.6,30
kahramanmaras,west,0.6,10
adana,west,0.6,39
ankara,west,0.6,5
van,west,0.6,4
tokat,south_west,0.6,10
mus,south_west,0.6,60
cankiri,south_west,0.6,10
duzce,south_west,0.6,50
van,south_west,0.6,49
erzurum,south_west,0.6,67
manisa,south_west,0.6,10
kocaeli,south_west,0.6,23
canakkale,south_west,0.6,2
adiyaman,south_west,0.6,0
hatay,south_west,0.6,6
balikesir,south_west,0.6,8
afyonkarahisar,south_west,0.6,5
sakarya,south_west,0.6,1
elazig,south_west,0.6,10
mugla,south_west,0.6,13.2
bingol,south_west,0.6,10
corum,south_west,0.6,4.6
kutahya,south_west,0.6,8
elazig,south_west,0.6,5
