"","App","Category","Rating","Reviews","Installs","Type","Price","Content.Rating","log_Installs","paid"
"2960","ESPN","SPORTS",4.2,4320,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"2961","Free Sports TV","SPORTS",4.3,1486,"100000","Free",0,"Everyone",11.5129254649702,0
"2962","LiveScore: Live Sport Updates","SPORTS",4.4,2685,"10000000","Free",0,"Everyone",16.1180956509583,0
"2963","MLB At Bat","SPORTS",4.2,5544,"5000000","Free",0,"Everyone",15.4249484703984,0
"2964","NFL","SPORTS",4.1,3984,"50000000","Free",0,"Everyone",17.7275335633924,0
"2965","theScore: Live Sports Scores, News, Stats & Videos","SPORTS",4.4,742,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"2966","Onefootball - Soccer Scores","SPORTS",4.7,5780,"10000000","Free",0,"Everyone",16.1180956509583,0
"2967","Cristiano Ronaldo Wallpaper","SPORTS",4.6,1402,"500000","Free",0,"Everyone",13.1223633774043,0
"2968","FIFA - Tournaments, Soccer News & Live Scores","SPORTS",4.2,3206,"10000000","Free",0,"Everyone",16.1180956509583,0
"2969","Futbol24","SPORTS",4.3,3009,"1000000","Free",0,"Everyone",13.8155105579643,0
"2970","kicker football news","SPORTS",4.3,4519,"5000000","Free",0,"Everyone",15.4249484703984,0
"2971","Football Live Scores","SPORTS",4.5,207,"5000000","Free",0,"Everyone",15.4249484703984,0
"2972","Pro 2018 - Series A and B","SPORTS",4.6,44,"5000000","Free",0,"Everyone",15.4249484703984,0
"2973","BeSoccer - Soccer Live Score","SPORTS",4.5,1077,"10000000","Free",0,"Everyone",16.1180956509583,0
"2974","Sport.pl LIVE","SPORTS",4.4,1969,"1000000","Free",0,"Mature 17+",13.8155105579643,0
"2975","FotMob - Live Soccer Scores","SPORTS",4.7,3671,"10000000","Free",0,"Everyone",16.1180956509583,0
"2976","Yahoo Fantasy Sports - #1 Rated Fantasy App","SPORTS",4.2,2639,"5000000","Free",0,"Mature 17+",15.4249484703984,0
"2977","CBS Sports App - Scores, News, Stats & Watch Live","SPORTS",4.3,5774,"5000000","Free",0,"Everyone",15.4249484703984,0
"2978","The Team - Live Sport: football, tennis, rugby ..","SPORTS",4.2,327,"5000000","Free",0,"Everyone",15.4249484703984,0
"2979","MARCA - Sports Leader Diary","SPORTS",3.9,5318,"5000000","Free",0,"Everyone",15.4249484703984,0
"2980","Sahadan Live Scores","SPORTS",3.9,4867,"5000000","Free",0,"Everyone",15.4249484703984,0
"2981","BBC Sport","SPORTS",4.2,1580,"1000000","Free",0,"Everyone",13.8155105579643,0
"2982","Foot Mercato: transfers, results, news, live","SPORTS",4.3,3583,"1000000","Free",0,"Everyone",13.8155105579643,0
"2983","All Football - Latest News & Videos","SPORTS",4.6,1079,"10000000","Free",0,"Everyone",16.1180956509583,0
"2984","Premier League - Official App","SPORTS",4.3,4843,"5000000","Free",0,"Everyone",15.4249484703984,0
"2985","Eurosport","SPORTS",4,486,"10000000","Free",0,"Everyone",16.1180956509583,0
"2986","beIN SPORTS TR","SPORTS",4,776,"10000000","Free",0,"Everyone",16.1180956509583,0
"2987","ESPN Fantasy Sports","SPORTS",4,1443,"5000000","Free",0,"Everyone",15.4249484703984,0
"2988","All Football GO- Live Score, Games","SPORTS",4.6,1726,"100000","Free",0,"Everyone",11.5129254649702,0
"2989","Top Mercato: football news","SPORTS",4.3,1202,"1000000","Free",0,"Everyone",13.8155105579643,0
"2990","GollerCepte Live Score","SPORTS",4.2,6002,"1000000","Free",0,"Everyone",13.8155105579643,0
"2991","Championat","SPORTS",4.3,3364,"1000000","Free",0,"Everyone",13.8155105579643,0
"2992","Bleacher Report: sports news, scores, & highlights","SPORTS",4.4,515,"5000000","Free",0,"Everyone 10+",15.4249484703984,0
"2993","Hovercraft Racer","SPORTS",4,1978,"100000","Free",0,"Everyone",11.5129254649702,0
"2994","World Cup 2018","SPORTS",4.6,3598,"500000","Free",0,"Teen",13.1223633774043,0
"2995","GollerCepte 1903","SPORTS",4.7,2367,"500000","Free",0,"Everyone",13.1223633774043,0
"2996","League18","SPORTS",4.3,865,"500000","Free",0,"Everyone",13.1223633774043,0
"2997","Speed Boat Racing","SPORTS",4,2329,"1000000","Free",0,"Everyone",13.8155105579643,0
"2998","La Liga - Spanish Soccer League Official","SPORTS",4.5,1490,"10000000","Free",0,"Everyone",16.1180956509583,0
"2999","Lionel Messi Wallpapers","SPORTS",4.7,5876,"100000","Free",0,"Everyone",11.5129254649702,0
"3000","Goal Live Scores","SPORTS",4.4,2154,"5000000","Free",0,"Everyone",15.4249484703984,0
"3001","The 5th Stand","SPORTS",4.8,1305,"100000","Free",0,"Everyone",11.5129254649702,0
"3002","NUsport","SPORTS",3.3,838,"100000","Free",0,"Everyone",11.5129254649702,0
"3003","U + professional baseball","SPORTS",4.3,2328,"500000","Free",0,"Everyone",13.1223633774043,0
"3004","Mackolik Live Results","SPORTS",3.9,1606,"10000000","Free",0,"Everyone",16.1180956509583,0
"3005","Mercato foot by Maxifoot","SPORTS",4.4,5083,"100000","Free",0,"Everyone",11.5129254649702,0
"3006","MLB Ballpark","SPORTS",3.9,4466,"1000000","Free",0,"Everyone",13.8155105579643,0
"3007","MUTV - Manchester United TV","SPORTS",4.4,3948,"500000","Free",0,"Everyone",13.1223633774043,0
"3008","CBS Sports App - Scores, News, Stats & Watch Live","SPORTS",4.3,5774,"5000000","Free",0,"Everyone",15.4249484703984,0
"3009","Hole19: Golf GPS App, Rangefinder & Scorecard","SPORTS",4.4,4732,"100000","Free",0,"Everyone",11.5129254649702,0
