"","Condition","KMs.Driven","Price","Year"
"3369","New",15000,1525000,2018
"12125","New",2000,1180000,2018
"1491","New",1,600000,2018
"20039","New",180,590000,2018
"10460","New",80000,750000,2018
"15988","New",8,1455000,2018
"24468","New",1,1035000,2018
"15778","New",45,1144000,2018
"11643","New",8,280000,2018
"5892","New",1,300000,2018
"24227","New",2,2380000,2018
"10640","New",100,1391000,2018
"10105","New",11000,2950000,2018
"23405","New",5000,50000,2018
"5628","New",36000,2550000,2018
"3466","New",5,200000,2018
"8745","New",18000,3290000,2018
"17368","New",55,2393000,2018
"9357","New",12000,1145000,2018
"17408","New",15,3042000,2018
"10313","New",1,490000,2018
"9424","New",33,5450000,2018
"13209","New",7000,2525000,2017
"1917","New",25000,1800000,2017
"10408","New",366,2000000,2017
"21202","New",2500,2385000,2018
"1806","New",580,2335000,2018
"22859","New",200,1985000,2018
"15917","New",5,400000,2018
"7290","New",42000,2050000,2017
"21790","New",20800,1225000,2017
"8639","New",35,540000,2017
"21303","New",4000,1325000,2017
"966","New",52500,615000,2017
"22617","New",18,1295000,2018
"15261","New",110000,1000000,2017
"13627","New",9,210000,2018
"13159","New",24000,2025000,2017
"21267","New",1,80000,2018
"16023","New",5,900000,2018
"13416","New",266,2400000,2018
"18702","New",5,300000,2018
"1349","New",1500,2300000,2018
"3479","New",1,800000,2018
"15132","New",5000,1380000,2017
"19355","New",7500,75000,2018
"5028","New",35,2320000,2018
"15203","New",5866,950000,2017
"11547","New",13000,1100000,2018
"20394","New",5,2656000,2018
"8988","New",2400,2375000,2018
"16005","New",1,200000,2018
"19828","New",1,2100000,2018
"19287","New",45000,1150000,2017
"16428","New",50,2300000,2018
"12573","New",5,240000,2018
"1415","New",100,200000,2018
"13543","New",5,300000,2018
"13087","New",5,664000,2018
"7408","New",7000,4500000,2017
"17212","New",1,200000,2018
"18791","New",4,250000,2018
"2853","New",15,200000,2018
"1960","New",1,50000,2018
"14099","New",8,746500,2018
"16337","New",10,200000,2018
"21995","New",137000,1135000,2017
"10940","New",16800,1140000,2017
"15895","New",1,240000,2018
"24186","New",8000,800000,2018
"6246","New",1500,2700000,2017
"22879","New",200,1985000,2018
"14865","New",10,2715000,2018
"18616","New",5,153800,2018
"21528","New",15,2315000,2018
"22423","New",13800,2740000,2017
"19632","New",9,1310000,2018
"20292","New",21000,815000,2017
"13134","New",5,300000,2018
"22525","New",65000,840000,2018
"3020","New",1,200000,2018
"6789","New",25000,2450000,2017
"21847","New",1430,1825000,2018
"1432","New",10,240000,2017
"24436","New",1,2775000,2018
"12141","New",2000,3000000,2018
"5893","New",10,200000,2018
"16523","New",1,1500000,2018
"21116","New",4200,830000,2018
"8301","New",21000,750000,2017
"576","New",23500,4600000,2017
"13591","New",8,769000,2018
"8214","New",20000,22500000,2017
"3844","New",1,3080000,2018
"12432","New",300,3700000,2018
"17146","New",35000,1700000,2017
"20327","New",13800,640000,2017
"4391","New",1,270000,2018
"16520","New",1,700000,2018
"8886","New",12500,1515000,2017
"17536","New",10,2600000,2018
"7305","New",1,3100000,2018
"20462","New",11,2500000,2018
"4356","New",10,260000,2017
"13005","New",1,3080000,2018
"24111","New",21000,2355000,2017
"19156","New",19000,180000,2017
"22288","New",8000,800000,2018
"5613","New",4000,2675000,2017
"16917","New",1,500000,2017
"7652","New",46,2140000,2018
"20758","New",186,2350000,2018
"23154","New",71560,1550000,2018
"7565","New",22000,775000,2017
"2301","New",20,420000,2017
"11622","New",5,260000,2018
"6253","New",1,1793000,2018
"11757","New",110000,7800000,2017
"13263","New",100,1800000,2018
"16012","New",5,300000,2018
"10450","New",5,300000,2018
"13462","New",3000,3050000,2018
"10441","New",350,400000,2017
"15378","New",5,320000,2018
"9721","New",3000,2950000,2018
"24601","New",1111,140000,2018
"3547","New",20,760000,2018
"13866","New",1,700000,2018
"22299","New",8000,800000,2018
"18476","New",1500,1300000,2017
"20852","New",8050,1290000,2018
"1303","New",30220,1145000,2017
"20706","New",8,1150000,2018
"6321","New",9000,2375000,2018
"16369","New",8,280000,2018
"18389","New",1,6200000,2018
"9235","New",10,200000,2018
"16351","New",1,292000,2018
"16314","New",1,300000,2018
"9273","New",10,200000,2018
"15590","New",1,1983000,2018
"320","New",9000,2835000,2017
"18879","New",3,550000,2018
"17589","New",550,770000,2018
"1463","New",21000,1090000,2017
"8659","New",10,540000,2017
"18724","New",63000,2550000,2018
"24285","New",5,1815000,2018
"16914","New",1,700000,2018
"16506","New",65,3000000,2018
"23630","New",1,2700000,2018
"5786","New",5,200000,2018
"19275","New",1,1516000,2018
"19274","New",45000,1150000,2017
"7775","New",27500,1100000,2017
"10467","New",5,200000,2018
"14024","New",7800,1545000,2017
"24249","New",56431,1300000,2018
"1486","New",10,280000,2018
"13291","New",13832,1695000,2017
"15880","New",1,815000,2018
"9686","New",1,700000,2018
"1501","New",30,220000,2018
"21278","New",10,1930000,2018
"1529","New",1,340000,2018
"10310","New",1,240000,2018
"23166","New",34000,1216000,2017
"12219","New",5,500000,2018
"2874","New",4350,1210000,2017
"16993","New",2,600000,2018
"23237","New",63000,1100000,2017
"22983","New",22000,720000,2017
"18802","New",4,250000,2018
"17372","New",9,230000,2017
"4933","New",56000,1450000,2017
"18394","New",22000,2300000,2017
"11662","New",1,700000,2018
"24828","New",32000,1200000,2017
"16276","New",1,3000000,2018
"15984","New",864,350000,2017
"14884","New",9000,795000,2017
"7691","New",3800,1125000,2018
"9269","New",1,560000,2018
"7269","New",14000,1550000,2018
"5120","New",10,275000,2018
"22017","New",36,750000,2018
"23096","New",900,87654321,2018
"19397","New",25000,1175000,2017
"10166","New",1,3120000,2018
"22215","New",5000,1330000,2018
"20269","New",123,400000,2017
"10301","New",13000,4000000,2018
"2768","New",19500,1635000,2017
"13653","New",1,500000,2018
"18736","New",32000,2865000,2017
"2981","New",2,850000,2018
"19066","New",7900,1370000,2017
"22161","New",1,1000000,2018
"13790","New",12500,750000,2018
"22091","New",13000,1425000,2018
"17357","New",1,430000,2018
"16423","New",1961,2200000,2017
"18474","New",8500,5950000,2017
"10482","New",1600,750000,2018
"2283","New",50,2425000,2018
"16915","New",1,500000,2017
"8125","New",5000,2450000,2017
"15566","New",10,840000,2018
"2281","New",10,400000,2018
"22768","New",17400,640000,2018
"599","New",1,3090000,2018
"3155","New",1,600000,2018
"7925","New",5,240000,2018
"10815","New",4000,2450000,2018
"4313","New",10,240000,2017
"8084","New",10200,1535000,2017
"7284","New",1800,5500000,2017
"21264","New",15635,1500000,2017
"22118","New",1000,2510000,2018
"2956","New",30,600000,2018
"23117","New",900,87654321,2018
"10426","New",65000,1010000,2017
"7065","New",7000,1380000,2017
"9609","New",1,450000,2018
"17202","New",5,2918000,2018
"3184","New",4000,1185000,2017
"16067","New",6,800000,2018
"11123","New",12000,1140000,2018
"20417","New",1,1150000,2018
"18907","New",5,240000,2018
"11893","New",4500,1900000,2017
"4324","New",10,480000,2018
"3579","New",3,3065000,2018
"5320","New",7,700000,2018
"3335","New",17000,2175000,2017
"4297","New",8500,1210000,2017
"23290","New",3000,2550000,2017
"93","New",10900,2880000,2017
"9493","New",1200,15000000,2018
"18952","New",2500,2950000,2018
"21824","New",18400,765000,2017
"17541","New",10,3080000,2018
"1649","New",3000,5350000,2018
"9857","New",1,1234000,2018
"20329","New",22600,2190000,2017
"16916","New",1,700000,2018
"2279","New",20,280000,2018
"23866","New",85000,820000,2018
"1659","New",22500,2750000,2017
"23443","New",1,2355000,2018
"9622","Used",2000,250000,2018
"24559","Used",17000,1700000,2017
"20923","Used",12345,830000,2017
"23570","Used",9000,180000,2017
"13435","Used",64238,1200000,2017
"12807","Used",60000,1250000,2017
"24306","Used",25000,2360000,2017
"8792","Used",4000,5400000,2018
"10184","Used",5000,1200000,2018
"20871","Used",4000,2980000,2018
"1995","Used",10000,130000,2018
"16688","Used",7000,2300000,2017
"6063","Used",80000,1110000,2018
"16444","Used",2100,1180000,2018
"13939","Used",1,500000,2018
"20179","Used",75000,2625000,2017
"15007","Used",3580,2300000,2017
"10134","Used",14000,2178000,2017
"15346","Used",38200,650000,2017
"24430","Used",9000,18900000,2018
"10669","Used",57700,1300000,2018
"13645","Used",18,235000,2018
"18807","Used",2547,250000,2018
"18531","Used",9500,2025000,2017
"13490","Used",15000,2900000,2017
"19148","Used",20000,810000,2017
"5966","Used",36000,4500000,2017
"22821","Used",3000,1950000,2018
"3076","Used",33500,695000,2017
"1484","Used",99500,950000,2017
"7086","Used",2500,4500000,2017
"4329","Used",35000,2725000,2017
"4015","Used",17000,1600000,2017
"6971","Used",40135,2800000,2017
"22211","Used",48000,840000,2017
"9619","Used",29000,975000,2017
"21854","Used",21000,2550000,2017
"12343","Used",40132,2750000,2017
"13850","Used",12500,2140000,2017
"14574","Used",77400,1040000,2017
"11207","Used",8500,2500000,2018
"24328","Used",69000,2100000,2018
"5227","Used",420000,3000000,2018
"2184","Used",60000,1040000,2017
"2880","Used",15060,690000,2017
"5861","Used",10000,800000,2018
"24622","Used",15000,880000,2018
"591","Used",18500,2050000,2017
"18590","Used",5485,300000,2017
"9060","Used",200000,1750000,2018
"7283","Used",17000,500000,2017
"6031","Used",6048,1245000,2017
"20607","Used",9000,2785000,2018
"11226","Used",60000,830000,2018
"2280","Used",26000,1350000,2017
"10223","Used",2481,870000,2018
"22129","Used",2000,140000,2017
"2468","Used",10000,800000,2017
"2785","Used",17000,2250000,2017
"21843","Used",50000,1150000,2017
"23351","Used",14300,785000,2017
"2628","Used",11500,2565000,2017
"13061","Used",18000,2825000,2017
"1236","Used",26000,4400000,2017
"18759","Used",12345,300000,2018
"19536","Used",29000,725000,2018
"1464","Used",83260,815000,2017
"24017","Used",14000,2175000,2017
"20385","Used",23000,1200000,2017
"7072","Used",25000,1380000,2017
"215","Used",112000,560000,2018
"24933","Used",300,125000,2018
"2185","Used",1,300000,2018
"9038","Used",25000,2300000,2017
"1949","Used",10000,240000,2017
"1507","Used",1230,200000,2018
"22273","Used",26000,2125000,2017
"18602","Used",12345,230000,2017
"5156","Used",15000,1280000,2017
"22549","Used",2233,300000,2018
"22429","Used",10000,1125000,2018
"21081","Used",10,170000,2018
"22231","Used",6000,2250000,2017
"8772","Used",8000,500000,2017
"5477","Used",26000,4450000,2017
"24387","Used",7700,1580000,2017
"21195","Used",13700,1860000,2018
"11358","Used",3988,740000,2018
"13041","Used",9119,400000,2017
"3963","Used",68000,730000,2017
"20063","Used",50,1440000,2018
"21344","Used",13311,200000,2017
"3515","Used",22000,1940000,2017
"5436","Used",38500,720000,2017
"11406","Used",7000,830000,2017
"21158","Used",5000,120000,2018
"958","Used",100000,180000,2018
"23917","Used",8000,2630000,2018
"14856","Used",65000,1050000,2017
"9741","Used",13000,2650000,2017
"23241","Used",27000,260000,2017
"23514","Used",8000,3050000,2018
"21842","Used",21000,2550000,2017
"1383","Used",13600,715000,2017
"20075","Used",34000,2225000,2017
"6946","Used",110000,920000,2018
"6372","Used",12257,1025000,2017
"8865","Used",76000,960000,2017
"24808","Used",36000,1175000,2017
"15340","Used",31000,920000,2017
"923","Used",23000,3900000,2017
"16656","Used",1,900000,2018
"15190","Used",50000,660000,2017
"23353","Used",42000,750000,2017
"10355","Used",21000,2300000,2017
"20561","Used",17000,2870000,2017
"12857","Used",10000,735000,2018
"24961","Used",25000,3100000,2017
"20371","Used",32300,1390000,2017
"14334","Used",100000,460000,2018
"19111","Used",18000,790000,2017
"12330","Used",5800,825000,2018
"21341","Used",40000,1200000,2017
"20307","Used",6000,130000,2018
"2363","Used",3500,3050000,2018
"1863","Used",8500,2865000,2017
"8906","Used",70000,490000,2017
"20197","Used",15000,2450000,2018
"10789","Used",9000,1470000,2017
"18416","Used",7800,1575000,2017
"10041","Used",8500,2275000,2017
"15012","Used",70000,1175000,2017
"2208","Used",3000,250000,2018
"15445","Used",38000,650000,2017
"14785","Used",70000,1350000,2017
"23746","Used",48545,2250000,2017
"2654","Used",6000,2228650,2018
"20927","Used",31000,1450000,2017
"12362","Used",34000,1975000,2017
"6560","Used",75000,1650000,2017
"13897","Used",155858,730000,2017
"22888","Used",35000,1100000,2017
"2402","Used",5000,2300000,2018
"18328","Used",36000,1250000,2017
"21273","Used",24000,1800000,2017
"13613","Used",10,200000,2018
"24361","Used",16000,1575000,2017
"20938","Used",34,2450000,2018
"5336","Used",120000,890000,2017
"10104","Used",110000,850000,2018
"23995","Used",2222,100000,2017
"19418","Used",13620,1865000,2018
"2722","Used",12800,450000,2017
"8224","Used",42000,4550000,2017
"18322","Used",36000,1250000,2017
"9429","Used",9000,2050000,2017
"24369","Used",35000,2780000,2017
"15860","Used",16000,2625000,2017
"14844","Used",40206,1060000,2017
"10769","Used",26000,3750000,2018
"15480","Used",1,100000,2018
"21251","Used",3000,298000,2018
"5829","Used",9500,2050000,2017
"4556","Used",800,200000,2017
"15483","Used",30000,1075000,2017
"4561","Used",66000,1725000,2018
"21535","Used",110,100000,2018
"11737","Used",640000,2800000,2018
"11742","Used",4000,2300000,2018
"16396","Used",48000,1150000,2017
"2798","Used",5000,300000,2017
"11994","Used",46000,1130000,2017
"21314","Used",12311,300000,2017
"1851","Used",16000,815000,2018
"19897","Used",20000,80000,2017
"22526","Used",23145,300000,2018
"22378","Used",1,4700000,2017
"19776","Used",74000,1098000,2017
"16412","Used",1060000,800000,2017
"6733","Used",78000,1000000,2018
"11679","Used",1,880000,2018
"13166","Used",10000,3000000,2018
"6205","Used",20000,1150000,2017
"21391","Used",34000,1400000,2017
"17530","Used",21000,1600000,2017
"7099","Used",24244,765000,2017
