Airline,Time,Delay
CO,15,1
US,15,1
AA,20,1
AA,20,1
AS,30,0
CO,30,1
DL,30,0
DL,30,0
DL,35,1
AA,40,1
CO,49,1
DL,50,1
DL,50,0
AA,55,0
AS,55,0
US,55,0
B6,59,0
CO,60,0
DL,60,0
CO,75,0
AS,80,0
DL,85,0
AS,90,0
HA,100,1
US,113,1
AS,150,0
B6,240,0
B6,262,0
HA,300,1
OO,300,0
OO,300,0
US,300,0
US,300,0
HA,302,0
OO,302,0
9E,305,0
HA,305,0
OO,305,0
OH,315,1
OO,315,0
US,315,1
US,315,0
US,315,0
HA,317,0
9E,320,1
DL,320,0
OO,320,1
CO,325,0
CO,325,0
EV,325,0
US,325,0
XE,325,0
OO,328,1
9E,330,0
9E,330,1
9E,330,1
AA,330,0
CO,330,0
DL,330,0
DL,330,0
DL,330,0
DL,330,0
DL,330,0
DL,330,0
DL,330,0
DL,330,0
DL,330,0
DL,330,0
DL,330,0
EV,330,0
EV,330,0
EV,330,0
EV,330,0
EV,330,0
EV,330,1
EV,330,0
OO,330,0
OO,330,0
US,330,0
US,330,0
US,330,1
US,330,0
US,330,0
XE,330,1
XE,330,0
YV,330,0
HA,331,0
UA,331,0
OO,333,0
YV,334,0
9E,335,0
9E,335,0
9E,335,0
AA,335,1
B6,335,0
CO,335,1
OH,335,0
OO,335,0
XE,335,0
EV,336,0
9E,338,0
9E,340,0
CO,340,1
DL,340,0
DL,340,0
DL,340,0
DL,340,0
EV,340,0
MQ,340,0
XE,340,1
XE,340,0
XE,340,1
XE,340,0
9E,345,0
9E,345,1
9E,345,1
9E,345,0
AA,345,0
AA,345,0
AA,345,0
CO,345,0
CO,345,0
CO,345,0
CO,345,0
CO,345,0
DL,345,0
DL,345,1
DL,345,0
DL,345,0
DL,345,0
DL,345,0
DL,345,0
DL,345,1
EV,345,0
EV,345,0
EV,345,0
EV,345,1
EV,345,0
OH,345,0
OH,345,0
OO,345,0
OO,345,0
OO,345,0
OO,345,0
US,345,0
XE,345,0
XE,345,0
OO,346,0
OO,346,0
UA,348,0
OO,349,1
9E,350,1
B6,350,0
DL,350,1
DL,350,0
DL,350,1
DL,350,0
DL,350,0
EV,350,0
FL,350,0
MQ,350,0
MQ,350,0
MQ,350,0
MQ,350,0
MQ,350,1
MQ,350,0
MQ,350,1
MQ,350,0
MQ,350,0
OH,350,1
OH,350,0
9E,351,0
HA,352,0
OO,352,0
9E,355,1
9E,355,0
9E,355,0
9E,355,0
B6,355,0
DL,355,0
HA,355,0
MQ,355,0
OH,355,1
OH,355,0
OO,355,0
9E,360,0
9E,360,0
9E,360,0
9E,360,0
9E,360,1
9E,360,0
9E,360,0
9E,360,0
9E,360,0
9E,360,0
9E,360,0
9E,360,1
9E,360,1
9E,360,0
9E,360,1
9E,360,0
9E,360,1
9E,360,0
9E,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,0
AA,360,1
AA,360,1
AA,360,0
AA,360,1
AA,360,0
AA,360,1
AA,360,0
AA,360,0
AA,360,1
AA,360,0
AA,360,1
AA,360,0
AA,360,0
AS,360,0
AS,360,0
AS,360,0
AS,360,0
AS,360,0
B6,360,1
B6,360,0
B6,360,1
B6,360,0
B6,360,0
B6,360,0
B6,360,0
B6,360,0
B6,360,1
B6,360,0
B6,360,0
B6,360,0
B6,360,0
B6,360,1
B6,360,0
CO,360,0
CO,360,0
CO,360,1
CO,360,0
CO,360,1
CO,360,0
CO,360,1
CO,360,0
CO,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,1
DL,360,0
DL,360,0
DL,360,0
DL,360,1
DL,360,1
DL,360,0
DL,360,1
DL,360,0
DL,360,0
DL,360,0
DL,360,0
DL,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,0
EV,360,1
EV,360,1
EV,360,1
EV,360,1
EV,360,0
EV,360,0
EV,360,0
EV,360,1
EV,360,0
EV,360,0
EV,360,1
EV,360,0
EV,360,0
EV,360,1
EV,360,0
EV,360,0
EV,360,0
F9,360,1
F9,360,1
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,0
FL,360,1
FL,360,0
FL,360,1
MQ,360,0
MQ,360,1
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,1
MQ,360,0
MQ,360,0
MQ,360,1
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,1
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,1
MQ,360,0
MQ,360,0
MQ,360,0
MQ,360,0
OH,360,0
OH,360,0
OH,360,0
OH,360,0
OH,360,0
OH,360,0
OH,360,0
OO,360,0
OO,360,0
OO,360,0
OO,360,0
OO,360,1
OO,360,1
OO,360,0
OO,360,1
OO,360,0
OO,360,0
OO,360,0
OO,360,1
OO,360,1
OO,360,0
OO,360,0
OO,360,0
OO,360,0
OO,360,1
OO,360,0
OO,360,0
OO,360,0
OO,360,0
OO,360,0
OO,360,0
OO,360,1
OO,360,0
OO,360,1
OO,360,1
OO,360,0
OO,360,1
OO,360,0
OO,360,0
OO,360,0
OO,360,0
OO,360,1
OO,360,0
OO,360,0
OO,360,0
OO,360,0
OO,360,1
OO,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,1
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,1
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,1
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
UA,360,0
US,360,0
US,360,0
US,360,0
US,360,0
US,360,0
US,360,0
US,360,0
US,360,0
US,360,1
US,360,0
US,360,0
US,360,0
US,360,0
US,360,0
US,360,0
US,360,0
US,360,0
US,360,1
US,360,0
US,360,1
WN,360,1
WN,360,0
WN,360,0
WN,360,0
WN,360,1
WN,360,0
WN,360,1
WN,360,1
WN,360,0
WN,360,0
WN,360,1
WN,360,0
WN,360,1
WN,360,0
WN,360,1
WN,360,1
WN,360,0
WN,360,1
WN,360,0
WN,360,1
XE,360,1
XE,360,1
XE,360,0
XE,360,0
XE,360,0
XE,360,1
