Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2012,All Other Causes,M,Not Stated/Unknown,78,.,.
2014,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,8,.,.
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2077,244.6,330.2
2010,All Other Causes,M,Black Non-Hispanic,1230,144.5,166.2
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,169,11.9,7.4
2011,All Other Causes,F,Other Race/ Ethnicity,38,.,.
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,145,12.6,13
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,14,.,.
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,6,.,.
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,208,19.9,17.9
2010,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,414,73.6,79.9
2012,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,8,.,.
2013,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,32,.,.
2010,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,279,32.8,41
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,151,.,.
2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,143,12.2,15
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,168,13.8,16.7
2008,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,6,.,.
2012,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,29,.,.
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,.,.,.
2007,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Other Race/ Ethnicity,.,.,.
2009,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,12,.,.
2007,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,528,109.1,145.9
2011,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,466,32.9,17.6
2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,50,8.7,8.7
2012,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.,.,.
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,.,.,.
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,17,.,.
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,496,102.5,157.8
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,227,21.7,19.6
2012,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,.,.,.
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,222,20.1,22.7
2009,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,506,99.1,127
2014,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,277,20.6,16.8
2011,All Other Causes,F,White Non-Hispanic,2445,172.6,105.4
2009,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,555,41.3,34.3
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,204,15.2,13.6
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,456,85.6,117.7
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,11,.,.
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,394,70.1,89.7
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,215,15,7.8
2013,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,300,35,41.1
2008,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,344,64.6,73.8
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,95,16.6,22.9
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2014,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,66,.,.
2012,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,285,21.3,17.6
2011,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,60,11.4,14.3
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,187,16.9,35.5
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199,14,7.2
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.,.,.
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,149,13,23.9
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,68,5.8,6.6
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,227,19.2,25.5
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,187,14,12.7
2011,Parkinson's Disease (G20),F,Not Stated/Unknown,.,.,.
2007,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,29,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,242,28,33.9
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2068,243.5,318.9
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,15,.,.
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,27,4.5,5.2
2010,Septicemia (A40-A41),F,White Non-Hispanic,107,7.5,4.3
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,175,13,10.5
2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",M,Asian and Pacific Islander,28,4.9,5.8
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,.,.,.
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,46,9.2,16.1
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,126,11.6,20
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2365,226.4,187.3
