week,arrest,fin,age,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8
20,1,no,27,no,no,no,no,no,no,no,no
17,1,no,18,no,no,no,no,no,no,no,no
25,1,no,19,no,no,no,no,no,no,no,no
52,0,yes,23,no,no,no,no,yes,yes,yes,yes
52,0,no,19,no,no,no,no,no,no,no,no
52,0,no,24,no,no,no,no,yes,yes,yes,yes
23,1,no,25,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,21,no,no,no,no,no,no,no,no
52,0,no,22,no,no,no,no,no,no,no,no
52,0,no,20,no,yes,yes,yes,yes,no,no,no
52,0,yes,26,no,no,no,no,no,no,no,no
52,0,no,40,no,no,no,no,yes,yes,yes,yes
37,1,no,17,no,no,no,no,no,no,no,no
52,0,no,37,no,no,no,no,no,no,no,no
25,1,no,20,no,no,no,no,no,no,no,no
46,1,yes,22,no,yes,yes,yes,yes,yes,yes,yes
28,1,no,19,no,no,no,no,no,no,no,no
52,0,no,20,no,no,no,no,no,no,no,no
52,0,no,25,no,no,no,no,no,no,no,no
52,0,no,24,no,yes,yes,no,no,no,no,no
52,0,no,23,no,no,no,no,no,no,no,no
52,0,yes,44,no,yes,yes,yes,yes,yes,yes,yes
24,1,yes,29,no,no,no,no,no,no,no,no
52,0,yes,28,yes,yes,yes,no,no,yes,yes,yes
52,0,yes,21,no,no,no,no,no,no,no,no
52,0,yes,19,no,no,no,no,yes,yes,yes,no
52,0,no,33,no,no,yes,yes,yes,yes,yes,yes
52,0,no,19,no,no,no,no,no,no,no,no
52,0,yes,19,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,23,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,23,no,no,no,no,no,no,no,yes
52,0,yes,19,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,42,no,no,yes,yes,yes,yes,no,no
52,0,no,23,no,no,no,no,no,no,no,no
52,0,no,24,no,no,no,no,yes,yes,yes,yes
50,1,yes,20,no,no,yes,yes,yes,yes,no,no
52,0,no,22,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,27,no,no,no,no,no,no,no,no
52,0,yes,19,yes,yes,no,no,no,no,no,no
52,0,no,28,no,no,no,no,no,no,no,no
52,0,yes,33,no,yes,yes,yes,yes,yes,no,no
52,0,no,24,no,no,no,no,no,no,no,no
10,1,no,21,no,no,no,no,no,no,yes,yes
52,0,no,22,no,no,no,yes,yes,yes,yes,yes
52,0,yes,19,no,no,no,no,no,no,no,no
52,0,yes,22,no,no,no,no,no,no,no,no
52,0,yes,22,no,no,no,no,no,no,no,no
20,1,yes,23,no,no,yes,yes,yes,no,no,yes
52,0,no,32,yes,yes,yes,no,no,no,no,no
52,0,yes,27,no,no,no,no,no,no,no,no
52,0,yes,36,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,22,no,no,no,yes,yes,yes,yes,yes
52,0,yes,32,no,no,yes,no,no,no,no,no
50,1,yes,19,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,28,no,no,no,no,no,yes,yes,yes
52,0,no,32,no,no,no,no,no,no,no,no
52,0,no,33,no,no,no,no,yes,yes,yes,yes
52,0,no,26,no,no,no,no,yes,no,no,no
52,0,yes,20,no,no,no,no,no,no,no,yes
52,0,yes,42,no,no,no,no,no,no,no,no
6,1,no,19,no,no,no,no,no,no,NA,NA
52,0,no,22,no,no,no,no,no,no,yes,yes
52,0,no,22,no,no,no,no,no,no,no,no
52,0,no,36,no,no,no,no,no,no,no,no
52,1,no,23,no,no,no,no,no,yes,no,no
52,0,yes,27,no,no,yes,yes,yes,yes,yes,yes
52,0,yes,21,no,no,no,no,no,no,no,no
52,0,yes,22,no,no,no,yes,no,no,no,no
49,1,no,35,no,no,no,no,no,yes,yes,yes
52,0,no,21,no,no,no,no,no,no,no,no
52,0,yes,25,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,18,no,no,no,no,no,yes,yes,yes
52,0,yes,26,no,no,no,no,no,no,no,no
52,0,no,30,no,no,no,no,no,no,no,no
52,0,no,20,no,no,no,no,no,no,no,no
52,0,yes,43,yes,yes,yes,yes,yes,yes,yes,yes
43,1,no,23,yes,yes,no,no,no,no,no,no
52,0,no,42,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,21,no,no,no,no,no,no,no,no
5,1,no,19,no,no,no,no,no,NA,NA,NA
27,1,no,29,no,no,no,no,no,no,no,no
52,0,no,30,no,no,no,no,no,no,no,no
52,0,yes,21,no,no,no,no,no,no,no,no
52,0,no,20,no,no,no,no,yes,yes,no,no
22,1,yes,19,no,no,no,no,yes,yes,yes,yes
52,0,yes,22,no,no,no,no,no,no,no,no
52,0,no,25,no,no,no,no,no,no,no,no
18,1,no,22,yes,yes,yes,yes,yes,yes,yes,yes
