"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged","usd_pledged_real","usd_goal_real","date_diff"
"357645",891938635,"SHAW - Soroptimist Help Application Women","Apps","Technology","EUR","2014-12-24",2000,"2014-11-24 22:32:05",30,0,2,"NL",37.17,36.66,2443.79,29.0610532407407
"94642",1481031083,"Bars Against Humanity","Apps","Technology","USD","2014-08-11",40000,"2014-07-12 06:52:11",2,0,2,"US",2,2,40000,29.7137615740741
"141125",171675199,"Ride Care service for Seniors","Apps","Technology","USD","2016-07-01",1600,"2016-06-03 00:50:44",1,0,1,"US",1,1,1600,27.9647685185185
"239567",288264115,"Garage Sales App","Apps","Technology","AUD","2016-03-06",5000,"2016-02-05 14:16:36",0,0,0,"AU",0,0,3755.16,29.4051388888889
"327084",73589541,"SHYFT: Connecting the Shared World","Apps","Technology","USD","2017-09-20",20000,"2017-08-21 21:38:54",0,0,0,"US",0,0,20000,29.0979861111111
"279483",491729376,"AucBlock - Social Buying and Selling.","Apps","Technology","USD","2014-08-19",5000,"2014-07-22 02:00:20",28,0,4,"US",28,28,5000,27.9164351851852
"367767",943832288,"The Health & Fitness Social Network, & Paleo Recipe Uploader","Apps","Technology","GBP","2014-11-07",16000,"2014-10-08 21:52:28",0,0,0,"GB",0,0,25311.25,29.1302314814815
"123035",1624799823,"Afinity: New People, Same Passion","Apps","Technology","EUR","2016-06-24",30000,"2016-05-25 18:36:58",38,0,5,"FR",42.6,42.05,33197.96,29.2243287037037
"301109",603167393,"Freely Reading Virtual Course","Web","Technology","USD","2017-06-07",30000,"2017-05-08 15:20:05",235,0,4,"US",0,235,30000,29.3610532407407
"138970",1705914579,"Faceless","Web","Technology","NOK","2016-07-14",25000,"2016-06-14 17:05:16",0,0,0,"NO",0,0,2985.54,29.2880092592593
"61725",1313905031,"GroupHugs for New Kids on the Block","Apps","Technology","USD","2015-03-03",15000,"2015-02-01 20:10:53",86,0,6,"US",86,86,15000,29.1591087962963
"50350",1256476775,"MeUnify - Messaging just got smart.","Apps","Technology","GBP","2016-12-14",50000,"2016-11-14 21:49:58",15,0,1,"GB",0,18.67,62218.46,29.0903009259259
"170339",1866639170,"News, Sports & Entertainment Website","Web","Journalism","EUR","2017-10-19",5000,"2017-09-19 22:15:59",0,0,0,"IE",0,0,5908.98,29.0722337962963
"355180",879319755,"Slidz","Apps","Technology","USD","2016-05-27",20000,"2016-04-27 19:44:57",0,0,0,"US",0,0,20000,29.1771180555556
"322224",710844992,"MFE | Your Videos. Your App.","Apps","Technology","USD","2015-05-06",30000,"2015-04-06 19:04:36",30018,1,264,"US",30018,30018,30000,29.2051388888889
"114467",1581374255,"Any-Blog","Apps","Technology","USD","2015-07-09",300,"2015-06-09 23:16:26",51,0,2,"US",51,51,300,29.0302546296296
"95411",1484918518,"What Do I Eat? Breaking the rules on all restaurant Apps!","Apps","Technology","USD","2015-04-10",5000,"2015-03-11 16:19:09",87,0,3,"US",87,87,5000,29.3200347222222
"328769",745043494,"Pro eSports Club - professional e-sports organization","Web","Technology","EUR","2015-06-04",10000,"2015-05-05 18:28:58",65,0,2,"IE",72.73,72.92,11218.06,29.2298842592593
"679",1003338175,"Knot App","Apps","Technology","USD","2016-04-08",4860,"2016-03-09 03:38:57",0,0,0,"US",0,0,4860,29.8062847222222
"205905",2048846741,"Brainot","Web","Technology","GBP","2014-10-28",15000,"2014-09-28 22:24:34",320,0,4,"GB",519.89,511.02,23954.01,29.0662731481481
"252737",355503524,"Local Mini Chat - App","Apps","Technology","GBP","2016-07-07",1750,"2016-06-07 15:29:16",15,0,1,"GB",21.59,19.48,2272.61,29.3546759259259
"140075",1711329226,"Yondapp - Map Free Navigation","Apps","Technology","GBP","2017-06-19",12500,"2017-05-20 10:20:18",8492,0,11,"GB",887.37,10805.86,15905.94,29.5692361111111
"62066",1315608319,"Warrior Ed","Web","Technology","USD","2016-06-23",50000,"2016-05-24 18:41:20",215,0,5,"US",215,215,50000,29.2212962962963
"146189",1742710294,"MoneyShot App: Live Price Conversion Using Phone Camera","Apps","Technology","AUD","2015-04-04",7800,"2015-03-05 07:37:02",55,0,8,"AU",43.01,42.05,5963.76,29.6409490740741
"188038",1957163758,"Neocities 3.0: An interactive HTML/CSS course for everyone","Web","Technology","USD","2015-07-26",5000,"2015-06-26 00:05:07",12606,1,129,"US",12606,12606,5000,29.9964467592593
"52633",1267797331,"Women's Reality Network - Daily Podcast Radio & News","Web","Journalism","USD","2016-12-14",50000,"2016-11-14 21:23:37",0,0,0,"US",0,0,50000,29.108599537037
"121696",1618065655,"Blue Parking - L'application qui gère votre parking !","Apps","Technology","CHF","2015-11-28",43000,"2015-10-29 11:26:53",2,0,2,"CH",2.03,2,43078.83,29.5646643518519
"110294",1560420632,"Nervous Dating - Dating for the Socially Awkward","Web","Technology","GBP","2015-03-09",10000,"2015-02-07 01:01:06",240,0,7,"GB",364.83,354.74,14780.87,29.9159027777778
"206790",2053571149,"Clubs/Bars Students Technology","Apps","Technology","GBP","2015-03-13",15000,"2015-02-11 15:40:27",0,0,0,"GB",0,0,22171.31,29.3052430555556
"73667",1375249213,"Allergy Friendly Restaurant Finder and Review Site","Web","Technology","AUD","2014-11-01",22000,"2014-10-02 04:12:42",70,0,2,"AU",61.14,60.17,18910.09,29.8245138888889
"11027",1055254169,"Ettendant, childrens smartdevice usage and reward app!","Apps","Technology","USD","2014-07-05",30000,"2014-06-05 22:34:42",4,0,4,"US",4,4,30000,29.0592361111111
"329481",748690625,"PASA - Professional Advice Service App","Apps","Technology","GBP","2015-03-04",20000,"2015-02-02 20:06:10",10,0,1,"GB",15.06,15.18,30368.37,29.1623842592593
"228333",23085016,"Sharp Dispatch","Apps","Technology","USD","2017-06-01",5000,"2017-05-02 00:33:35",0,0,0,"US",0,0,5000,29.9766782407407
"201149",2024339847,"NuTranx Startup Project","Apps","Technology","USD","2015-08-08",10000,"2015-07-09 23:46:38",0,0,0,"US",0,0,10000,29.0092824074074
"30694",1156089518,"Alternative Travel App","Apps","Technology","EUR","2016-08-28",5000,"2016-07-29 18:25:07",22,0,4,"BE",0,24.62,5596.47,29.2325578703704
"66555",1338539481,"Madplot - The Travel Planner","Web","Technology","USD","2016-12-29",30000,"2016-11-29 19:07:58",1,0,1,"US",0,1,30000,29.2028009259259
"49198",1250777639,"South Asia Labor Watch (SALW) reporting fund","Web","Journalism","USD","2014-08-20",500,"2014-07-21 22:25:17",626,1,13,"US",626,626,500,29.065775462963
"130708",1663538729,"An App in Every Pot!","Apps","Technology","CAD","2016-09-28",15000,"2016-08-29 16:57:44",50,0,1,"CA",0,37.99,11396.44,29.2932407407407
"216979",210528490,"Swap Your Time","Apps","Technology","USD","2017-09-03",5000,"2017-08-04 23:13:01",5291,1,102,"US",0,5291,5000,29.0326273148148
"46810",1238238082,"Opinioni.com - First Read, then Buy","Web","Technology","EUR","2016-01-21",150,"2015-12-22 18:50:39",1,0,1,"IT",1.09,1.08,162.12,29.2148263888889
"188133",195760670,"RentGuru a shared economy platform for renters.","Web","Technology","USD","2017-05-05",25000,"2017-04-05 14:43:14",0,0,0,"US",0,0,25000,29.3866435185185
"179014",1910739320,"Marco Polo 2.0","Apps","Technology","USD","2014-11-29",10000,"2014-10-30 18:35:27",9,0,3,"US",9,9,10000,29.2670486111111
"111853",1568166793,"Golf in DFW!","Web","Technology","USD","2014-11-01",9000,"2014-10-01 05:45:27",0,0,0,"US",0,0,9000,30.7601041666667
"79287",1403351161,"Vivo Moda","Web","Technology","GBP","2016-04-07",400,"2016-03-08 19:08:14",0,0,0,"GB",0,0,563.02,29.1609490740741
"67382",1342957745,"INKspire: An Online Publishing Platform for Youth","Web","Journalism","CAD","2016-02-18",10000,"2016-01-17 19:57:56",10431.04,1,177,"CA",7183.27,7577.94,7264.8,31.1681018518519
"157633",1801806229,"Hypocam","Apps","Technology","USD","2015-05-07",25000,"2015-04-07 18:18:38",325,0,15,"US",325,325,25000,29.2370601851852
"282126",505505970,"Tefy.com ""Tasty Edibles For You"" - An ""Etsy"" for Edibles","Web","Technology","USD","2015-05-08",13200,"2015-04-08 18:32:11",1775,0,14,"US",1775,1775,13200,29.227650462963
"187178",1952906436,"Idea hub","Web","Technology","USD","2016-12-16",35800,"2016-11-16 15:49:49",10,0,1,"US",0,10,35800,29.3404050925926
"256043",371999276,"Find it keep it app interactive real time hide and seek app","Apps","Technology","USD","2017-01-06",10000,"2016-12-07 05:25:55",510,0,2,"US",0,510,10000,29.7736689814815
"48112",1245274908,"Spresso Workflow: Document Review app","Apps","Technology","USD","2014-10-01",30000,"2014-09-01 12:59:08",150,0,3,"US",150,150,30000,29.4589351851852
"62984",1320247832,"Tore Down by a Heroine Abuser Web Chronicle and Support","Web","Journalism","USD","2014-08-22",13200,"2014-07-23 18:54:58",5,0,1,"US",5,5,13200,29.2118287037037
"249999",341619584,"PTSD Recovery Through Harley Davidson Therapy","Web","Technology","USD","2014-08-21",5000,"2014-07-22 06:39:34",0,0,0,"US",0,0,5000,29.7225231481481
"220282",2121946004,"Collars Save Dogs","Apps","Technology","USD","2015-03-02",40000,"2015-01-31 16:29:52",13,0,4,"US",13,13,40000,29.3125925925926
"344597",825162091,"Mobile phone app designed to assist parents","Apps","Technology","USD","2017-08-17",25000,"2017-07-18 22:42:27",25,0,1,"US",0,25,25000,29.0538541666667
"230715",242794374,"Oh My Days! Deals","Web","Technology","GBP","2015-09-02",1000,"2015-08-03 18:14:27",0,0,0,"GB",0,0,1522.63,29.2399652777778
"195267",1994413514,"The ultimate game to buy boards and negotiate deals","Apps","Technology","USD","2015-02-12",10000,"2015-01-13 17:58:02",60,0,1,"US",60,60,10000,29.2513657407407
"295185",572443921,"Livinlingo – the new app for language learning","Apps","Technology","EUR","2017-01-08",30000,"2016-12-09 17:09:56",177,0,6,"DE",123.94,188.7,31982.94,29.2847685185185
"7525",1038093385,"All Who Are","Web","Technology","USD","2016-04-15",30000,"2016-03-16 19:48:14",0,0,0,"US",0,0,30000,29.174837962963
"140349",1712640644,"Five Fold-The Church Social Network Connecting Believers","Web","Technology","USD","2015-05-01",2500,"2015-04-01 05:35:15",0,0,0,"US",0,0,2500,29.7671875
"107480",1546479374,"PartyRadar","Apps","Technology","USD","2015-02-16",10000,"2015-01-17 04:11:54",2,0,2,"US",2,2,10000,29.8250694444444
"38269",1194158089,"TakeStory","Apps","Technology","USD","2014-09-27",5000,"2014-08-28 20:45:57",40,0,4,"US",40,40,5000,29.1347569444444
"324570",723125885,"AmpuTeach","Apps","Technology","USD","2014-11-06",16000,"2014-10-07 19:05:06",16200,1,147,"US",16200,16200,16000,29.2464583333333
"210247",2071473290,"Grocery Grabber","Apps","Technology","USD","2015-04-30",50000,"2015-03-31 18:01:09",0,0,0,"US",0,0,50000,29.2492013888889
"331511",758961323,"one for all / all for one","Apps","Technology","EUR","2015-06-26",50000,"2015-05-27 22:15:25",0,0,0,"FR",0,0,56009.86,29.0726273148148
"318904",694360425,"GrudgeAndJury.com","Web","Technology","USD","2016-04-23",15000,"2016-03-24 15:18:29",26,0,2,"US",26,26,15000,29.3621643518519
"196271",1999309741,"Fitventure: Ignite the Fitness Warrior Within","Apps","Technology","USD","2016-08-24",1500,"2016-07-25 20:21:28",340,0,15,"US",148,340,1500,29.1517592592593
"201044",2023660046,"DoctorRated.com- the only tool you need to pick a doctor.","Web","Technology","USD","2015-11-30",50000,"2015-10-31 16:06:46",3435,0,30,"US",3435,3435,50000,29.3703009259259
"98188",1498471572,"Rippled Waters - Fly Fishing Journal and Trip Planning App","Apps","Technology","USD","2016-01-20",6500,"2015-12-21 17:07:53",3360.44,0,18,"US",3360.44,3360.44,6500,29.2861921296296
"340167",802606598,"WeBuyBlack.com: The Largest Market Place for Black Sellers","Web","Technology","USD","2015-11-21",30000,"2015-10-22 00:08:04",34370.5,1,873,"US",34370.5,34370.5,30000,30.0360648148148
