star_name,decimal_degrees,star_dist,st_spttype,st_lum
HIP 171,27.084489,12.17,G3V,0.7
HD 142,-49.075094,25.71,F7V,3
HIP 544,29.021935,13.67,K0V,0.68
HIP 677,29.090828,29.74,B9p,251.04
HIP 746,59.150218,16.78,F2III-IV,29.09
HIP 910,-15.467323,18.75,F5V,3.38
HIP 1599,-64.877623,8.59,G0V,1.33
HIP 2021,-77.255035,7.46,G1IV,3.7
HIP 2072,-43.679909,23.81,A6VN,12.77
HIP 2081,-42.305122,25.97,K0IIIB,88.07
HIP 2941 A,-24.767225,15.4,K1V+G,1.32
HD 3651,21.251374,11.06,K0V,0.54
HIP 3419,-17.986684,29.53,K0III,151.95
HIP 3765,5.283389,7.45,K1V,0.3
HIP 3821 A,57.816548,5.94,G3V,1.31
HIP 3909,-10.64377,15.75,F7V,1.85
HIP 4151,61.123557,18.74,F8V,3.66
HIP 5336,54.924228,7.55,G5Vp,0.46
HIP 5862,-45.532097,15.11,G0V,2.07
ups And,41.406385,13.49,F8V,3.64
HIP 7751 B,-56.196441,7.82,K0/4,0.34
HIP 7918,42.613807,12.74,G2V,1.49
HD 10647,-53.740575,17.43,F8V,1.64
HIP 7981,20.270151,7.53,K1V,0.47
HIP 8102,-15.939556,3.65,G8.5V,0.52
HIP 8362,63.853101,10.07,K0V,0.55
HIP 8497,-10.686181,23.19,F0V,6.09
HIP 8796,29.579397,19.42,F6IV,13.85
HIP 8903,20.808299,17.99,A5V...,24.76
HIP 9007,-51.609587,17.85,G8IIIBCNIV,10.95
HIP 9236,-61.569924,22.01,F0V,28.75
alf Ari,23.462777,20.18,K2III,85.89
GJ 86,-50.825315,10.78,K1V,0.42
HIP 10644,34.22483,10.78,G0V,1.21
HIP 12114,6.883364,7.18,K3V,0.29
HIP 12706 A,3.236172,24.41,A2Va,21.16
HIP 12777,49.228666,11.13,F7V,2.42
HIP 12828,10.11422,25.77,F1III-IV,10.72
HIP 12843,-18.572651,14.22,F5/6V,2.83
HIP 13402,-12.769254,10.35,K1V,0.42
HIP 14146,-23.624336,27.17,A4V,14.41
HIP 14576,40.955651,27.57,B8V,141.6
HIP 14632,49.6135,10.54,G0V,2.36
HIP 14879 A,-28.989106,14.24,F8V,5.3
HIP 15330,-62.576899,12.01,G3/5V,0.8
HIP 15371,-62.507935,12.03,G2V,1.03
HIP 15457,3.369971,9.14,G5V,0.88
HD 20794,-43.071549,6.04,G8.0V,0.69
HIP 16245,-62.938434,21.68,F3IV/V,5.18
eps Eri,-9.458306,3.21,K2.0V,0.35
HIP 16852,0.402833,13.96,F8V,3.29
HIP 17378,-9.765199,9.04,K0IV,3.37
HIP 17440,-64.807094,29.86,K0IV SB,39.12
HIP 17651,-23.248438,17.63,F3/5V,5.39
HIP 19849,-7.644558,4.98,K0.5V,0.42
HIP 19859,6.187121,21.33,G0IV...,1.2
HIP 19893,-51.487096,20.46,F0V,6.9
HD 27442,-59.301748,18.24,K1/2III,6.88
alf Tau,16.509762,20.43,K5III,469.49
