gender,test_preparation_course,math_score,reading_score,writing_score
female,none,72,72,74
female,completed,69,90,88
female,none,90,95,93
male,none,47,57,44
male,none,76,78,75
female,none,71,83,78
female,completed,88,95,92
male,none,40,43,39
male,completed,64,64,67
female,none,38,60,50
male,none,58,54,52
male,none,40,52,43
female,none,65,81,73
male,completed,78,72,70
female,none,50,53,58
female,none,69,75,78
male,none,88,89,86
female,none,18,32,28
male,completed,46,42,46
female,none,54,58,61
male,none,66,69,63
female,completed,65,75,70
male,none,44,54,53
female,none,69,73,73
male,completed,74,71,80
male,none,73,74,72
male,none,69,54,55
female,none,67,69,75
male,none,70,70,65
female,none,62,70,75
female,none,69,74,74
female,none,63,65,61
female,none,56,72,65
male,none,40,42,38
male,none,97,87,82
male,completed,81,81,79
female,none,74,81,83
female,none,50,64,59
female,completed,75,90,88
male,none,57,56,57
male,none,55,61,54
female,none,58,73,68
female,none,53,58,65
male,completed,59,65,66
female,none,50,56,54
male,none,65,54,57
female,completed,55,65,62
female,none,66,71,76
female,completed,57,74,76
male,completed,82,84,82
male,none,53,55,48
male,completed,77,69,68
male,none,53,44,42
male,none,88,78,75
female,completed,71,84,87
female,none,33,41,43
female,completed,82,85,86
male,none,52,55,49
male,completed,58,59,58
female,none,0,17,10
male,completed,79,74,72
male,none,39,39,34
male,none,62,61,55
female,none,69,80,71
female,none,59,58,59
male,none,67,64,61
male,none,45,37,37
female,none,60,72,74
male,none,61,58,56
female,none,39,64,57
female,completed,58,63,73
male,completed,63,55,63
female,none,41,51,48
male,none,61,57,56
male,none,49,49,41
male,none,44,41,38
male,none,30,26,22
male,completed,80,78,81
female,completed,61,74,72
female,none,62,68,68
female,none,47,49,50
male,none,49,45,45
male,completed,50,47,54
male,none,72,64,63
male,none,42,39,34
female,none,73,80,82
female,none,76,83,88
female,none,71,71,74
female,none,58,70,67
female,none,73,86,82
female,none,65,72,74
male,none,27,34,36
male,none,71,79,71
male,completed,43,45,50
female,none,79,86,92
male,completed,78,81,82
male,completed,65,66,62
female,completed,63,72,70
female,none,58,67,62
female,none,65,67,62
male,none,79,67,67
male,completed,68,74,74
female,none,85,91,89
male,completed,60,44,47
male,completed,98,86,90
female,none,58,67,72
female,none,87,100,100
male,completed,66,63,64
female,none,52,76,70
female,none,70,64,72
female,completed,77,89,98
male,none,62,55,49
male,none,54,53,47
female,none,51,58,54
female,completed,99,100,100
male,none,84,77,74
female,none,75,85,82
female,none,78,82,79
female,none,51,63,61
female,none,55,69,65
female,completed,79,92,89
male,completed,91,89,92
female,completed,88,93,93
male,none,63,57,56
male,none,83,80,73
female,none,87,95,86
male,none,72,68,67
male,completed,65,77,74
male,none,82,82,74
female,none,51,49,51
male,none,89,84,82
male,completed,53,37,40
male,completed,87,74,70
female,completed,75,81,84
male,completed,74,79,75
male,none,58,55,48
male,completed,51,54,41
male,none,70,55,56
female,none,59,66,67
male,completed,71,61,69
female,none,76,72,71
female,none,59,62,64
female,completed,42,55,54
