App,Category,Rating,Reviews,Size,Installs
oto File anager,TOOLS,4.1,38655,5.9,1.00E+07
otorola Alert,TOOLS,4.2,24199,3.9,5.00E+07
Cache Cleaner-DU Speed Booster (booster & cleaner),TOOLS,4.5,12759663,15,1.00E+08
oto Suggestions ™,TOOLS,4.6,308,4.3,1.00E+06
yetro,TOOLS,4,26189,5.3,1.00E+07
y Telcel,TOOLS,3.1,45838,16,5.00E+07
"Calculator - free calculator, ulti calculator app",TOOLS,4.6,25592,7.5,1.00E+07
"Calculator - free calculator ,ulti calculator app",TOOLS,4.4,1236,5.8,1.00E+05
SHAREit - Transfer & Share,TOOLS,4.6,7790693,17,5.00E+08
Files Go by Google: Free up space on your phone,TOOLS,4.6,315585,8.5,1.00E+07
Nokia obile support,TOOLS,4.4,12215,9.1,5.00E+06
File anager -- Take Coand of Your Files Easily,TOOLS,4.2,127223,7.6,1.00E+07
Sasung Calculator,TOOLS,4.4,9602,2.5,1.00E+08
Clear,TOOLS,3.1,24151,15,1.00E+07
AT&T Sart Wi-Fi,TOOLS,3.9,18513,6.1,1.00E+07
Sound Recorder: Recorder & Voice Changer Free,TOOLS,3.9,14552,17,1.00E+07
TouchPal Keyboard for vivo,TOOLS,4.3,357,58,1.00E+06
Google Assistant Go,TOOLS,3.7,315,4.6,5.00E+05
y love,TOOLS,3.5,163997,16,1.00E+07
DuraSpeed,TOOLS,3.8,5431,1.3,1.00E+07
HTC Sense Input-LV,TOOLS,3.6,59,2.3,50000
HTC Sense Input-CA,TOOLS,3.1,124,1.9,1.00E+05
HTC Sense Input-AR,TOOLS,3.8,1420,2.7,1.00E+05
Digital Alar Clock,TOOLS,4.2,118439,16,1.00E+07
Alar Clock Free,TOOLS,4,59973,11,1.00E+07
Puzzle Alar Clock ⏰,TOOLS,4.3,32111,5.3,1.00E+06
I Can't Wake Up! Alar Clock,TOOLS,4.5,70404,4.2,1.00E+06
Brightest Flashlight - LED Light,TOOLS,4.5,876866,9.1,5.00E+07
LED Flashlight,TOOLS,4.4,207706,4.3,1.00E+07
"C Flashlight (Copass, SOS)",TOOLS,4.4,166367,1.8,5.00E+06
Flashlight - Torch LED Light,TOOLS,4.4,192661,8.5,1.00E+07
Super Flashlight  LED,TOOLS,4.3,54207,4.4,5.00E+06
Brightest Flashlight Free ®,TOOLS,4.7,1335799,3.8,5.00E+07
Fraction Calculator Plus Free,TOOLS,4.5,148506,11,5.00E+06
CALCU™ Stylish Calculator Free,TOOLS,4.7,152692,11,5.00E+06
Calculator with Percent (Free),TOOLS,4.8,48211,7.4,1.00E+06
Graphing Calculator,TOOLS,3.9,12388,5.3,1.00E+06
Unit Converter,TOOLS,4.5,85387,5.4,1.00E+06
Calculator ,TOOLS,4.6,33509,3.6,1.00E+06
ConvertPad - Unit Converter,TOOLS,4.4,90831,4.3,1.00E+07
Classic Calculator,TOOLS,4,85659,27,5.00E+06
weight conversion calculator,TOOLS,4,807,1.8,1.00E+05
Age Calculator,TOOLS,4.4,24265,3.3,1.00E+06
EzCalculator,TOOLS,4.1,1657,2,1.00E+05
SuperVPN Free VPN Client,TOOLS,4.3,576454,6.1,5.00E+07
Hidean VPN,TOOLS,4.1,88675,9.6,5.00E+06
