Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
CO,269, SFO, IAH,3,15,205,1
US,1558, PHX, CLT,3,15,222,1
AA,2400, LAX, DFW,3,20,165,1
AA,2466, SFO, DFW,3,20,195,1
AS,108, ANC, SEA,3,30,202,0
CO,1094, LAX, IAH,3,30,181,1
DL,1768, LAX, MSP,3,30,220,0
DL,2722, PHX, DTW,3,30,228,0
DL,2606, SFO, MSP,3,35,216,1
AA,2538, LAS, ORD,3,40,200,1
CO,223, ANC, SEA,3,49,201,1
DL,1646, PHX, ATL,3,50,212,1
DL,2055, SLC, ATL,3,50,210,0
AA,2408, LAX, DFW,3,55,170,0
AS,132, ANC, PDX,3,55,215,0
US,498, DEN, CLT,3,55,179,0
B6,98, DEN, JFK,3,59,213,0
CO,1496, LAS, IAH,3,60,162,0
DL,1450, LAS, MSP,3,60,181,0
CO,507, ONT, IAH,3,75,167,0
AS,128, FAI, SEA,3,80,206,0
DL,2223, ANC, SLC,3,85,270,0
AS,112, ANC, SEA,3,90,200,0
HA,17, LAS, HNL,3,100,380,1
US,122, ANC, PHX,3,113,327,1
AS,114, ANC, SEA,3,150,200,0
B6,766, BQN, MCO,3,240,169,0
B6,768, PSE, MCO,3,262,180,0
HA,206, HNL, OGG,3,300,36,1
OO,4746, BIS, MSP,3,300,85,0
OO,6466, IYK, LAX,3,300,53,0
US,1011, EWR, CLT,3,300,111,0
US,1983, BOS, CLT,3,300,135,0
HA,108, HNL, KOA,3,302,41,0
OO,6900, MKE, ORD,3,302,44,0
9E,3975, GFK, MSP,3,305,68,0
HA,102, HNL, ITO,3,305,49,0
OO,4829, OMA, MSP,3,305,75,0
OH,6338, GSO, ATL,3,315,93,1
OO,6505, LMT, SFO,3,315,95,0
US,149, SEA, PHX,3,315,166,1
US,1640, MCO, CLT,3,315,97,0
US,908, TPA, CLT,3,315,96,0
HA,106, HNL, OGG,3,317,36,0
9E,3854, DLH, MSP,3,320,58,1
DL,1276, MSP, ATL,3,320,158,0
OO,4651, FAR, MSP,3,320,62,1
CO,1585, MFE, IAH,3,325,64,0
CO,222, MSY, IAH,3,325,70,0
EV,4966, VPS, ATL,3,325,69,0
US,1521, BWI, CLT,3,325,83,0
XE,2827, MAF, IAH,3,325,85,0
OO,4719, LWS, SLC,3,328,87,1
9E,3702, RST, MSP,3,330,50,0
9E,3775, ALB, DTW,3,330,120,1
9E,3886, DSM, ATL,3,330,135,1
AA,1711, BOS, MIA,3,330,210,0
CO,611, EWR, IAH,3,330,233,0
DL,1143, CHS, ATL,3,330,72,0
DL,1511, MSN, DTW,3,330,80,0
DL,1518, MCO, ATL,3,330,84,0
DL,1698, JAX, ATL,3,330,80,0
DL,1842, SAT, ATL,3,330,142,0
DL,1972, TPA, ATL,3,330,85,0
DL,2054, PNS, ATL,3,330,75,0
DL,2112, BHM, ATL,3,330,58,0
DL,2306, LIT, ATL,3,330,97,0
DL,2711, SAV, ATL,3,330,65,0
DL,2995, BNA, ATL,3,330,67,0
EV,4940, OMA, ATL,3,330,147,0
EV,5014, ICT, ATL,3,330,132,0
EV,5044, ECP, ATL,3,330,68,0
EV,5117, DHN, ATL,3,330,70,0
EV,5393, MGM, ATL,3,330,57,0
EV,5532, CAE, ATL,3,330,64,1
EV,7108, PWM, IAD,3,330,114,0
OO,6917, ACV, SMF,3,330,65,0
OO,7781, EKO, SLC,3,330,70,0
US,1289, BOS, PHL,3,330,84,0
US,1420, PHL, CLT,3,330,102,0
US,1732, ATL, CLT,3,330,68,1
US,347, PDX, PHX,3,330,148,0
US,913, RIC, CLT,3,330,72,0
XE,2263, BTR, IAH,3,330,72,1
XE,3024, HRL, IAH,3,330,70,0
YV,2605, MYR, CLT,3,330,62,0
HA,103, HNL, LIH,3,331,35,0
UA,576, SEA, DEN,3,331,159,0
OO,6644, TUS, DEN,3,333,112,0
YV,7294, SBN, ORD,3,334,46,0
9E,3661, CAK, DTW,3,335,76,0
9E,3725, TVC, DTW,3,335,75,0
9E,3804, CLE, ATL,3,335,128,0
AA,674, ORD, MIA,3,335,185,1
B6,728, BQN, JFK,3,335,231,0
CO,463, ORD, IAH,3,335,164,1
OH,6423, DAY, DTW,3,335,75,0
OO,6698, MFR, PDX,3,335,74,0
XE,2865, MKE, IAH,3,335,174,0
EV,7101, BTV, IAD,3,336,110,0
9E,3998, TLH, ATL,3,338,68,0
9E,4196, TYS, ATL,3,340,57,0
CO,214, DFW, IAH,3,340,59,1
DL,2123, BOS, DTW,3,340,144,0
DL,2597, RIC, ATL,3,340,109,0
DL,2626, FLL, ATL,3,340,118,0
DL,684, AUS, ATL,3,340,134,0
EV,5583, CHA, ATL,3,340,47,0
MQ,4563, CMH, LGA,3,340,100,0
XE,2616, LRD, IAH,3,340,66,1
XE,3006, BRO, IAH,3,340,70,0
XE,3015, CRP, IAH,3,340,59,1
XE,5970, LAN, ORD,3,340,71,0
9E,3659, ALB, ATL,3,345,183,0
9E,3862, SAT, MEM,3,345,119,1
9E,3949, PVD, DTW,3,345,135,1
9E,4143, FWA, DTW,3,345,59,0
AA,1141, JFK, MIA,3,345,190,0
AA,1297, DFW, MIA,3,345,160,0
AA,2320, DFW, ORD,3,345,140,0
CO,1677, PHL, IAH,3,345,219,0
CO,1727, BWI, IAH,3,345,208,0
CO,240, AUS, IAH,3,345,55,0
CO,278, SAT, IAH,3,345,54,0
CO,633, LGA, IAH,3,345,235,0
DL,1095, OKC, ATL,3,345,127,0
DL,1112, PIT, ATL,3,345,131,1
DL,1506, LAX, DTW,3,345,270,0
DL,1580, SFO, DTW,3,345,270,0
DL,2320, PBI, ATL,3,345,113,0
DL,2481, ORF, ATL,3,345,120,0
DL,2710, DFW, ATL,3,345,132,0
DL,2939, DCA, ATL,3,345,120,1
EV,5142, AEX, ATL,3,345,119,0
EV,5218, SYR, ATL,3,345,158,0
EV,5233, BTR, ATL,3,345,97,0
EV,5362, SHV, ATL,3,345,123,1
EV,5501, VLD, ATL,3,345,62,0
OH,6264, BDL, CVG,3,345,133,0
OH,6549, MFE, MEM,3,345,118,0
OO,6407, FAT, SFO,3,345,45,0
OO,6647, BZN, DEN,3,345,107,0
OO,6925, PHX, LAX,3,345,85,0
OO,6964, RDM, PDX,3,345,58,0
US,1423, DCA, CLT,3,345,85,0
XE,2919, LFT, IAH,3,345,58,0
XE,5951, CAK, ORD,3,345,95,0
OO,6480, IPL, YUM,3,346,34,0
OO,6843, EAU, CWA,3,346,32,0
