gender,d_age,samerace,funny_partner,shared_interests_partner,match
female,6,0,7,5,0
female,1,0,8,6,0
female,1,1,8,7,1
female,2,0,7,8,1
female,3,0,7,6,1
female,4,0,4,4,0
female,9,0,4,7,0
female,6,0,6,6,0
female,7,0,9,8,1
female,3,0,8,8,0
female,3,1,4,3,0
female,2,1,6,6,0
female,2,0,6,4,0
female,1,1,6,7,1
female,0,0,9,8,0
female,1,1,3,2,0
female,6,1,6,9,0
female,3,1,5,5,0
female,4,1,9,5,1
female,0,1,7,8,0
female,2,1,7,9,0
female,3,1,8,7,0
female,3,0,7,7,0
female,2,1,7,7,0
female,1,0,10,10,0
female,0,1,7,9,0
female,5,1,7,9,0
female,2,1,8,7,0
female,3,1,9,9,0
female,1,1,7,7,0
female,4,1,5,7,0
female,1,1,10,8,0
female,1,0,8,7,0
female,0,1,10,10,1
female,1,0,9,9,0
female,2,1,4,2,0
female,7,1,7,5,0
female,4,1,5,7,0
female,5,1,10,8,1
female,1,1,10,8,0
female,6,1,2,2,0
female,1,1,5,5,0
female,1,0,8,5,0
female,2,1,7,9,1
female,3,0,5,8,0
female,4,1,5,8,0
female,9,1,5,6,0
female,6,1,6,5,0
female,7,1,8,9,1
female,3,1,9,5,0
female,4,0,6,6,0
female,1,0,6,2,0
female,1,1,4,2,0
female,0,0,8,8,1
female,1,0,8,2,0
female,2,0,1,1,0
female,7,0,8,4,0
female,4,0,2,3,0
female,5,0,8,9,1
female,1,0,9,7,0
female,5,0,5,4,0
female,0,0,4,4,0
female,0,1,7,8,0
female,1,0,7,6,1
female,2,0,4,5,0
female,3,0,4,4,0
female,8,0,7,7,0
female,5,0,5,5,0
female,6,0,8,6,1
female,2,0,7,6,0
female,2,1,4,5,0
female,3,1,9,7,1
female,3,0,6,7,1
female,2,1,6,5,1
female,1,0,5,7,1
female,0,1,5,7,1
female,5,1,5,7,0
female,2,1,4,6,1
female,3,1,9,9,1
female,1,1,7,8,1
female,1,0,8,6,0
female,4,0,10,10,1
female,4,0,6,6,1
female,3,0,8,7,1
female,2,0,8,5,1
female,1,0,7,5,1
female,4,0,6,6,1
female,1,0,7,6,0
female,2,0,6,5,1
female,2,0,8,8,0
female,1,1,6,?,0
female,4,1,1,?,0
female,4,0,10,?,1
female,3,1,10,?,0
female,2,0,7,?,0
female,1,1,4,?,0
female,4,1,6,?,0
female,1,1,4,?,0
female,2,1,9,9,1
female,2,1,10,8,0
male,6,0,8,6,0
male,3,1,9,4,0
male,2,1,5,4,0
male,4,1,7,5,0
male,6,1,8,6,0
male,4,0,9,4,0
male,5,0,8,7,0
male,2,1,6,5,0
male,1,0,8,5,0
male,1,1,8,5,0
male,1,0,7,5,0
male,2,1,6,5,0
male,3,1,6,5,0
male,1,1,6,5,0
male,1,1,7,5,0
male,1,0,6,6,0
male,0,0,6,5,0
male,3,1,7,5,1
male,4,0,7,5,1
male,4,1,1,1,0
male,1,1,10,10,1
male,2,0,10,10,0
male,3,0,10,10,0
male,1,0,10,10,0
male,1,0,10,10,0
male,1,1,10,10,0
male,0,1,10,10,0
male,3,0,10,10,1
male,4,0,10,10,1
male,4,0,10,10,1
male,2,0,8,8,1
male,1,1,9,9,1
male,2,1,8,8,0
male,0,1,9,9,1
male,2,1,8,10,1
male,0,0,7,8,1
male,1,0,8,9,1
male,2,1,8,7,1
male,3,0,8,7,1
male,3,1,9,8,0
male,3,0,6,7,1
male,0,0,10,8,0
male,1,0,6,?,0
male,1,0,8,9,0
male,3,0,7,5,0
male,1,0,7,6,0
male,2,0,6,5,0
male,1,0,9,7,1
male,2,0,9,7,1
male,2,0,7,?,0
male,4,0,8,7,0
male,1,1,5,7,0
male,0,1,6,6,0
male,2,1,7,7,0
male,4,1,7,7,0
male,2,0,8,7,0
male,3,0,6,6,0
male,0,1,7,7,1
male,1,0,8,7,1
male,1,1,7,7,0
male,9,0,5,7,0
male,6,1,3,3,0
male,5,1,4,4,0
male,7,1,5,5,0
male,9,1,4,3,0
male,7,0,4,4,0
male,8,0,4,3,0
male,5,1,5,4,0
male,4,0,8,5,1
male,4,1,3,4,0
male,6,0,6,6,0
male,3,1,7,5,0
male,2,1,4,4,0
male,4,1,6,5,0
male,6,1,5,5,0
male,4,0,7,5,0
male,5,0,7,5,0
male,2,1,8,5,1
male,1,0,7,5,0
male,1,1,6,5,0
male,7,0,8,9,1
male,4,1,9,7,1
male,3,1,8,7,0
male,5,1,10,10,1
male,7,1,9,6,1
male,5,0,6,6,1
male,6,0,9,10,1
male,3,1,10,10,1
male,2,0,7,6,1
male,2,1,7,6,1
male,3,0,6,6,0
male,0,1,7,7,0
male,1,1,5,6,0
male,1,1,7,7,0
male,3,1,7,5,0
male,1,0,6,7,0
male,2,0,6,7,0
male,1,1,9,8,1
male,2,0,6,6,0
male,2,1,6,6,0
