trip_distance,tip_amount,payment_type
0,0,2
5.75,0,2
1.55,1.86,1
1.32,0,1
0.68,1.06,1
0.97,1,1
2.69,2.76,1
0.9,0,2
4,0,2
4.1,2,1
6,3.05,1
3.61,3.26,1
2.77,2.56,1
1.6,0,2
4.1,2,1
1.63,2.08,1
1.59,1.66,1
1.68,1.76,1
2.48,0,2
2.57,0,2
9.35,7.11,1
1.04,1.26,1
0.61,1.26,1
4.33,3.82,1
0.9,1.26,1
3.14,2.86,1
10.4,7.06,1
3.04,0,2
1.18,0.73,1
3.52,1,1
7.47,4.66,1
4.42,0,2
2.08,2.06,1
0.52,3,1
3.27,3.7,1
1.47,0,2
0.9,0,2
3.2,2.75,1
1.3,1.45,1
4.8,0,2
4.76,5.04,1
1.1,0,4
2.5,0,4
23.51,0,1
1.6,0,2
2.6,0,2
2.73,2.66,1
4.59,4.7,1
0.15,0,1
8.72,0,2
5.79,0,2
0.98,1.46,1
2.4,2,1
1.26,0,1
2.37,2.26,1
4.5,2,1
1.3,2.05,1
1.17,1.56,1
0.93,0,2
1.57,0,2
0.96,0,2
1.4,0,2
2.5,2.45,1
0.99,2,1
1.47,0,2
0.69,0,2
1.72,2.7,1
2.93,0,2
1.4,0,2
7.74,5.36,1
0.39,0,2
4.45,0,2
1.7,0,2
1.79,0,2
11.17,6.66,1
1.52,0,1
3.48,3.2,1
0.92,0,2
1.09,0.7,1
2.57,2.66,1
6.16,4.26,1
2.39,0,2
1.63,1.76,1
2.65,0,2
1.05,1.17,1
1.61,1.76,1
1.73,2.79,1
3.66,0,2
0.76,0,2
1.04,0,2
2.48,0,2
0.69,0,2
5.27,0,2
3.24,3.26,1
2.57,2.46,1
2.74,3.58,1
5.9,0,2
1.5,0,2
1.3,0,2
0.9,0,2
1.1,0,2
1,1.7,1
6.6,0,1
1.75,2.79,1
0.9,0,2
1.59,2.16,1
2.33,3.39,1
0.89,1.36,1
2.75,0,2
5.4,0,2
4.43,0,2
3.97,0,2
1.02,0,2
1.04,0,2
3.55,2.66,1
5.5,0,1
2.15,0,2
1.47,0,2
6.48,4,1
1.74,0,2
1.7,0,2
9.24,5.76,1
0.64,1.36,1
1.65,0,2
7.5,0,2
1.5,2,1
1.3,1.45,1
0.7,1.4,1
1.9,0,2
0.7,0,2
4.77,0,2
0.41,0,2
1.34,0,2
3.03,0,2
15.13,12.08,1
2.2,2.25,1
1.65,0,2
4.8,3.76,1
2.61,0,2
0.7,0,2
3.27,2,1
1.37,0,2
1.06,1.66,1
2.68,0,2
2.53,3.08,1
1.73,0,2
1.9,3.24,1
1.25,1.36,1
2.45,3.99,1
4.69,4.26,1
4.75,4.58,1
2.6,0,2
1.25,0,2
1.27,1.46,1
0.91,0,2
1.31,0,2
1.97,0,2
14.94,12.45,1
1.38,0,2
0.15,0,2
7.46,0,2
0.92,1.26,1
7.49,5.82,1
0.49,1,1
8.74,5,1
8.51,3,1
2.06,1,1
5.88,2.22,1
0.85,0,2
0.7,0,2
5.8,4.15,1
2.4,0,2
16.55,0,2
5.66,0,1
2.8,0,2
1.28,0,2
5.61,0,1
1.16,0,2
2.13,0,2
6.28,0,2
0.81,0,2
1.28,0,2
1.59,2.32,1
1.87,0,2
1.59,1,1
2,1.96,1
3.98,0,2
1.65,1.96,1
5.38,3.56,1
0.63,1.45,1
1.36,0,2
2.61,1,1
3.38,0,2
1.1,0,2
0.7,0,2
19.4,14.55,1
0.41,0,1
1.06,0,2
3.78,2,1
2.3,1,1
7.85,6.08,1
6.44,5.96,1
0.54,0,1
2.07,2.26,1
3.66,2.2,1
1.8,0,2
1.5,0,2
0.8,1.25,1
1.1,2.15,1
0.3,0.96,1
