Name,Age,Value,Wage
L. Messi,31,110.5,565000
Cristiano Ronaldo,33,77,405000
Neymar Jr,26,118.5,290000
De Gea,27,72,260000
K. De Bruyne,27,102,355000
E. Hazard,27,93,340000
L. Modri?,32,67,420000
L. Su¨¢rez,31,80,455000
Sergio Ramos,32,51,380000
J. Oblak,25,68,94000
R. Lewandowski,29,77,205000
T. Kroos,28,76.5,355000
D. God¨ªn,32,44,125000
David Silva,32,60,285000
N. Kant¨¦,27,63,225000
P. Dybala,24,89,205000
H. Kane,24,83.5,205000
A. Griezmann,27,78,145000
M. ter Stegen,26,58,240000
T. Courtois,26,53.5,240000
Sergio Busquets,29,51.5,315000
E. Cavani,31,60,2e+05
M. Neuer,32,38,130000
S. Ag¨¹ero,30,64.5,3e+05
G. Chiellini,33,27,215000
K. Mbapp¨¦,19,81,1e+05
M. Salah,26,69.5,255000
Casemiro,26,59.5,285000
J. Rodr¨ªguez,26,69.5,315000
L. Insigne,27,62,165000
Isco,26,73.5,315000
C. Eriksen,26,73.5,205000
Coutinho,26,69.5,340000
P. Aubameyang,29,59,265000
M. Hummels,29,46,160000
Marcelo,30,43,285000
G. Bale,28,60,355000
H. Lloris,31,36,150000
G. Higua¨ªn,30,57,245000
Thiago Silva,33,24,165000
S. Handanovi?,33,30,110000
G. Buffon,40,4,77000
S. Umtiti,24,57,205000
M. Icardi,25,64.5,130000
K. Koulibaly,27,51,115000
P. Pogba,25,64,210000
K. Navas,31,30.5,195000
R. Lukaku,25,62.5,230000
C. Immobile,28,52,115000
Jordi Alba,29,38,250000
D. Mertens,31,45,135000
J. Vertonghen,31,34,155000
M. Ham?¨ªk,30,46.5,125000
I. Rakiti?,30,46.5,260000
Piqu¨¦,31,34,240000
L. San¨¦,22,61,195000
Bernardo Silva,23,59.5,180000
Ederson,24,41.5,125000
S. Man¨¦,26,52,195000
V. van Dijk,26,44.5,165000
R. Sterling,23,56.5,195000
Roberto Firmino,26,53,195000
R. Varane,25,50,210000
M. Verratti,25,55,135000
Alex Sandro,27,36.5,160000
Douglas Costa,27,46.5,175000
T. M¨¹ller,28,45,135000
Thiago,27,45.5,130000
M. Reus,29,43.5,1e+05
Azpilicueta,28,35,175000
L. Bonucci,31,30,160000
T. Alderweireld,29,39,150000
M. Pjani?,28,44,180000
M. Benatia,31,30,160000
M. ?zil,29,43.5,190000
Fernandinho,33,18,185000
Iniesta,34,21.5,21000
M. ?kriniar,23,46.5,82000
S. Milinkovi?-Savi?,23,50.5,73000
Marco Asensio,22,54,215000
N. Fekir,24,50,92000
Alisson,25,36.5,115000
J. Kimmich,23,40.5,92000
Sa¨²l,23,50.5,77000
R. Mahrez,27,40.5,205000
D. Alaba,26,38,110000
Koke,26,45,88000
A. Lacazette,27,45,180000
K. Manolas,27,37.5,96000
N. Otamendi,30,28.5,170000
Parejo,29,37,66000
Paulinho,29,37,235000
W. Szcz?sny,28,32,125000
A. S¨¢nchez,29,37.5,215000
Y. Brahimi,28,39,28000
J. Boateng,29,30,115000
A. Vidal,31,26,205000
I. Peri?i?,29,37.5,110000
E. D?eko,32,30.5,115000
S. Khedira,31,33,160000
Diego Costa,29,38.5,1e+05
R. Nainggolan,30,35.5,105000
Naldo,35,9,38000
B. Matuidi,31,26,145000
Miranda,33,15.5,96000
K. Benzema,30,37,240000
Filipe Lu¨ªs,32,21.5,81000
V. Kompany,32,22,170000
Pepe,35,9,57000
Z. Ibrahimovi?,36,14,15000
D. S¨¢nchez,22,34,105000
J. Gim¨¦nez,23,34,63000
Alex Telles,25,32,22000
A. Laporte,24,34,135000
Bruno Fernandes,23,40.5,22000
N. S¨¹le,22,36.5,84000
A. Martial,22,42.5,165000
D. Alli,22,42.5,115000
Fabinho,24,34,120000
Marquinhos,24,35.5,90000
William Carvalho,26,31.5,38000
Jorginho,26,38,155000
F. Thauvin,25,39,72000
Carvajal,26,31.5,185000
M. Depay,24,42,93000
H. Son,25,37,125000
A. Lopes,27,25,72000
S. de Vrij,26,31.5,88000
M. Perin,25,29.5,105000
J. Cuadrado,30,29.5,150000
Iago Aspas,30,30,45000
B. Leno,26,27,115000
N. Mati?,29,24,165000
L. Hr¨¢deck?,28,22,74000
Illarramendi,28,31,51000
K. Walker,28,24.5,165000
I. G¨¹ndo?an,27,32,175000
Jos¨¦ Callej¨®n,31,27.5,105000
A. Di Mar¨ªa,30,29.5,125000
M. Mand?uki?,32,25,160000
Willian,29,30.5,175000
Sergio Asenjo,29,24,42000
E. Banega,30,29,31000
A. Witsel,29,24,77000
D. Payet,31,27.5,75000
Jonas,34,16.5,25000
Sokratis,30,23,140000
S. Ruffier,31,19,41000
Falcao,32,25,115000
K. Schmeichel,31,19,78000
Ra¨²l Albiol,32,18,88000
A. G¨®mez,30,30,53000
A. Barzagli,37,4.2,95000
Quaresma,34,15.5,80000
A. Robben,34,15.5,110000
O. Demb¨¦l¨¦,21,40,155000
Gabriel Jesus,21,41,130000
Ronaldo Cabrais,26,28,51000
Josu¨¦ Chiamulera,26,22.5,43000
Louri Beretta,26,28.5,60000
P. Kimpembe,22,30.5,82000
N. Ke?ta,23,34,120000
C. Tolisso,23,34,85000
T. Lemar,22,35.5,64000
K. Coman,22,34,85000
J. Tah,22,29.5,67000
Anderson Talisca,24,36.5,18000
T. Werner,22,34.5,70000
A. Rabiot,23,33,91000
L. Goretzka,23,34,85000
Q. Promes,26,30.5,28000
H. Ziyech,25,32.5,28000
Lucas V¨¢zquez,27,27,205000
Y. Carrasco,24,33,20000
Gerard Moreno,26,32,53000
Felipe,29,20,22000
M. Kova?i?,24,35,165000
Kepa,23,28.5,84000
Manu Trigueros,26,30,49000
S. Gnabry,22,34.5,85000
J. Pickford,24,25,78000
S. Savi?,27,26,67000
J. Stones,24,28.5,125000
Suso,24,33,115000
J. Draxler,24,32.5,91000
Felipe Anderson,25,31.5,110000
Lucas Moura,25,31,115000
Danilo Pereira,26,27,21000
Nacho Fern¨¢ndez,28,24.5,180000
T. Horn,25,24,25000
Allan,27,26.5,87000
F. Acerbi,30,19,64000
Sergi Roberto,26,26.5,170000
Rodrigo,27,30.5,57000
Pizzi,28,25.5,22000
K. Kampl,27,26.5,74000
Neto,28,21,41000
O. Baumann,28,21,42000
I. Gueye,28,21,125000
H. Mkhitaryan,29,25.5,145000
