aver,precipitation
8,TRUE
3.5,FALSE
0.5,TRUE
3,FALSE
4,TRUE
2,TRUE
0,FALSE
-1,TRUE
4,TRUE
3,FALSE
-2.5,FALSE
-5,FALSE
-4.5,FALSE
-3.5,FALSE
-2.5,FALSE
-0.5,FALSE
-2,FALSE
-2,FALSE
0,FALSE
4.5,TRUE
-8,TRUE
-12,FALSE
-4,FALSE
6.5,TRUE
6,TRUE
-0.5,FALSE
0,FALSE
1,FALSE
-1,FALSE
-1,TRUE
-8,FALSE
-10.5,FALSE
-7,FALSE
-2,FALSE
2.5,FALSE
5.5,FALSE
6,FALSE
1.5,TRUE
6.5,TRUE
4.5,FALSE
-2.5,FALSE
-1.5,FALSE
-2,TRUE
0,TRUE
0.5,FALSE
3,TRUE
4.5,FALSE
0,FALSE
0,TRUE
-4,FALSE
-3.5,FALSE
-0.5,TRUE
3,FALSE
1,FALSE
1.5,TRUE
3.5,TRUE
-3,FALSE
-6.5,FALSE
-4.5,TRUE
