Country Name,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate ,Income Tax Rate ,Corporate Tax Rate ,Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population,GDP ,GDP Growth Rate ,5 Year GDP Growth Rate ,GDP per Capita,Unemployment ,Inflation ,FDI Inflow,Public Debt
Afghanistan,AsiaPacific,152,39,52,20,30,25,92,80,99,49,60,77,66,10,10,7,20,20,5,26,36,70,3,3,1958,9,5,54,7
Albania,Europe,52,27,67,55,31,40,86,74,81,69,53,82,88,70,70,1,23,15,25,30,3,36,4,3,12507,14,2,1119,71
Algeria,Middle East and North Africa,171,14,46,32,36,29,76,49,19,62,50,75,67,30,30,9,35,23,25,41,42,633,2,3,15237,10,6,1203,26
Angola,SubSaharan Africa,156,33,51,36,27,21,84,81,58,56,59,55,61,30,40,9,17,30,21,25,28,190,1,3,6753,8,32,-2255,65
Argentina,Americas,148,26,52,48,45,34,69,50,33,56,47,60,70,55,60,8,35,30,31,41,44,920,3,1,20876,9,26,11857,53
Armenia,Europe,47,24,68,57,46,39,85,79,53,78,71,78,81,75,70,2,26,20,21,26,3,28,8,4,9456,18,1,246,54
Australia,AsiaPacific,5,4,81,79,87,80,63,60,86,88,84,87,88,80,90,1,45,30,28,37,25,1247,2,2,50334,6,2,46368,42
Austria,Europe,31,16,72,84,71,77,51,25,86,75,69,82,86,90,70,2,50,25,43,50,9,440,3,1,49869,6,2,9630,79
Azerbaijan,AsiaPacific,60,13,65,59,53,45,88,60,89,70,64,63,75,60,60,5,25,20,15,37,10,172,0,1,17492,5,13,2867,55
Bahamas,Americas,76,15,63,42,47,44,97,87,66,69,68,78,48,50,60,19,0,0,16,21,0,12,1,-1,31139,13,1,928,57
Bahrain,Middle East and North Africa,54,5,66,64,51,54,100,63,4,71,71,82,84,75,80,3,0,0,6,35,2,70,3,4,48505,1,1,519,90
Bangladesh,AsiaPacific,121,27,56,36,35,24,73,95,78,51,68,70,64,45,30,11,25,45,9,14,163,687,7,7,4211,4,6,2152,32
Barbados,Americas,67,13,65,53,60,54,70,65,80,70,60,78,57,70,60,14,35,25,34,34,0,5,1,1,18664,10,4,286,133
Belarus,Europe,104,42,58,55,52,38,89,41,85,75,75,67,76,30,10,2,13,18,24,44,10,179,2,0,18931,1,6,1276,51
Belgium,Europe,48,25,67,81,62,73,47,15,73,78,61,76,86,85,70,2,50,29,44,53,11,529,2,1,46553,7,2,740,103
Belize,Americas,123,24,55,42,47,27,80,66,39,62,55,79,64,55,50,11,25,25,28,34,0,3,1,2,8324,9,1,77,99
Benin,SubSaharan Africa,127,21,55,37,33,28,69,83,28,62,54,86,62,70,50,12,45,30,12,24,11,25,6,5,2277,3,0,184,55
Bhutan,AsiaPacific,74,16,63,63,55,55,83,72,78,69,80,73,79,20,30,3,25,30,13,31,1,7,6,5,8744,2,3,10,102
Bolivia,Americas,173,30,42,21,12,20,82,49,18,59,53,69,70,15,40,5,13,25,31,41,11,84,4,5,7547,3,3,725,51
