"GRE.Score","CGPA","Chance.of.Admit"
337,1.544,0.92
324,1.4192,0.76
316,1.28,0.72
322,1.3872,0.8
314,1.3136,0.65
330,1.4944,0.9
321,1.312,0.75
308,1.264,0.68
302,1.28,0.5
323,1.376,0.45
325,1.344,0.52
327,1.44,0.84
328,1.456,0.78
307,1.28,0.62
311,1.312,0.61
314,1.328,0.54
317,1.392,0.66
319,1.28,0.65
318,1.408,0.63
303,1.36,0.62
312,1.264,0.64
325,1.344,0.7
328,1.52,0.94
334,1.552,0.95
336,1.568,0.97
340,1.536,0.94
322,1.408,0.76
298,1.2,0.44
295,1.152,0.46
310,1.168,0.54
300,1.296,0.65
327,1.328,0.74
338,1.504,0.91
340,1.536,0.9
331,1.568,0.94
320,1.472,0.88
299,1.344,0.64
300,1.248,0.58
304,1.2,0.52
307,1.232,0.48
308,1.28,0.46
316,1.312,0.49
313,1.36,0.53
332,1.456,0.87
326,1.504,0.91
322,1.456,0.88
329,1.488,0.86
339,1.552,0.89
321,1.416,0.82
327,1.344,0.78
313,1.328,0.76
312,1.264,0.56
334,1.28,0.78
324,1.296,0.72
322,1.28,0.7
320,1.232,0.64
316,1.184,0.64
298,1.216,0.46
300,1.088,0.36
311,1.328,0.42
309,1.296,0.48
307,1.312,0.47
304,1.312,0.54
315,1.36,0.56
325,1.392,0.52
325,1.4272,0.55
327,1.4432,0.61
316,1.3824,0.57
318,1.4752,0.68
328,1.4656,0.78
332,1.5424,0.94
336,1.5616,0.96
321,1.512,0.93
314,1.4464,0.84
314,1.424,0.74
329,1.3696,0.72
327,1.3952,0.74
301,1.3152,0.64
296,1.2064,0.44
294,1.1776,0.46
312,1.2832,0.5
340,1.52,0.96
320,1.4752,0.92
322,1.4976,0.92
340,1.512,0.94
319,1.3856,0.76
315,1.3472,0.72
317,1.3248,0.66
314,1.3024,0.64
316,1.4016,0.74
318,1.2672,0.64
299,1.2256,0.38
298,1.2848,0.34
301,1.2608,0.44
303,1.2256,0.36
304,1.2544,0.42
306,1.28,0.48
331,1.4336,0.86
332,1.4784,0.9
323,1.4208,0.79
322,1.3536,0.71
312,1.2992,0.64
314,1.32,0.62
317,1.3552,0.57
326,1.448,0.74
316,1.4048,0.69
329,1.4688,0.87
338,1.5136,0.91
331,1.5008,0.93
304,1.3824,0.68
305,1.3568,0.61
321,1.3888,0.69
301,1.3344,0.62
320,1.3696,0.72
311,1.352,0.59
310,1.4464,0.66
299,1.3792,0.56
290,1.1936,0.45
296,1.1648,0.47
327,1.4144,0.71
335,1.5296,0.94
334,1.5168,0.94
310,1.3376,0.57
308,1.3152,0.61
301,1.3552,0.57
300,1.3856,0.64
323,1.4912,0.85
319,1.3936,0.78
326,1.456,0.84
333,1.496,0.92
339,1.5616,0.96
303,1.384,0.77
309,1.3696,0.71
323,1.4048,0.79
333,1.4848,0.89
314,1.4032,0.82
312,1.352,0.76
316,1.3056,0.71
326,1.4528,0.8
318,1.4592,0.78
329,1.464,0.84
332,1.4976,0.9
331,1.5104,0.92
340,1.5872,0.97
325,1.4336,0.8
320,1.3824,0.81
315,1.3568,0.75
326,1.4576,0.83
339,1.568,0.96
311,1.3216,0.79
334,1.5088,0.93
332,1.4848,0.94
321,1.4496,0.86
324,1.4,0.79
326,1.4224,0.8
312,1.3904,0.77
315,1.3344,0.7
309,1.3216,0.65
306,1.3024,0.61
297,1.264,0.52
315,1.2576,0.57
298,1.1936,0.53
318,1.36,0.67
317,1.3696,0.68
329,1.4416,0.81
322,1.4352,0.78
302,1.3328,0.65
313,1.3232,0.64
293,1.248,0.64
311,1.2768,0.65
312,1.2864,0.68
334,1.4512,0.89
322,1.4608,0.86
323,1.4768,0.89
321,1.4352,0.87
320,1.4192,0.85
329,1.4656,0.9
319,1.4464,0.82
309,1.2992,0.72
307,1.3232,0.73
300,1.3056,0.71
305,1.3472,0.71
299,1.2608,0.68
314,1.408,0.75
316,1.3312,0.72
327,1.4576,0.89
317,1.3888,0.84
335,1.5104,0.93
331,1.4976,0.93
324,1.4528,0.88
324,1.4656,0.9
323,1.4368,0.87
322,1.4304,0.86
336,1.5248,0.94
316,1.4016,0.77
307,1.3632,0.78
306,1.3216,0.73
310,1.3328,0.73
311,1.3488,0.7
313,1.3904,0.72
317,1.3664,0.73
315,1.3536,0.72
340,1.5856,0.97
334,1.5792,0.97
298,1.3664,0.69
295,1.224,0.57
315,1.2624,0.63
310,1.2832,0.66
305,1.3056,0.64
301,1.2992,0.68
325,1.4496,0.79
328,1.4624,0.82
338,1.5456,0.95
333,1.5648,0.96
331,1.5072,0.94
330,1.4976,0.93
322,1.4816,0.91
321,1.4608,0.85
324,1.4352,0.84
312,1.3472,0.74
313,1.4,0.76
316,1.3696,0.75
324,1.4064,0.76
308,1.352,0.71
305,1.3168,0.67
296,1.2848,0.61
306,1.352,0.63
312,1.3648,0.64
318,1.3872,0.71
324,1.4416,0.82
313,1.384,0.73
319,1.3328,0.74
312,1.3232,0.69
304,1.2912,0.64
330,1.4896,0.91
326,1.4768,0.88
325,1.4672,0.85
329,1.4704,0.86
310,1.3392,0.7
299,1.2624,0.59
296,1.2288,0.6
317,1.304,0.65
324,1.4016,0.7
325,1.4464,0.76
314,1.3696,0.63
328,1.4432,0.81
316,1.3968,0.72
311,1.3568,0.71
324,1.4192,0.8
321,1.4128,0.77
320,1.3712,0.74
316,1.44,0.7
318,1.3664,0.71
335,1.5488,0.93
321,1.4592,0.85
307,1.3392,0.79
309,1.3696,0.76
324,1.3824,0.78
326,1.4016,0.77
331,1.4944,0.9
327,1.4608,0.87
312,1.2944,0.71
308,1.3376,0.7
