"age","job","marital","education","default","balance","housing","loan","now","previous","poutcome","deposit"
29,"admin.","single","secondary","no",1,"no","no",1,0,"unknown",1
35,"management","married","tertiary","no",12256,"yes","no",4,0,"unknown",1
48,"services","married","unknown","no",1705,"yes","no",1,0,"unknown",1
38,"management","single","tertiary","no",8669,"yes","no",6,0,"unknown",1
37,"unknown","single","secondary","no",57,"yes","no",1,0,"unknown",1
36,"blue-collar","divorced","secondary","no",-523,"yes","yes",1,17,"other",1
27,"technician","single","secondary","no",8,"yes","no",3,0,"unknown",1
55,"blue-collar","married","primary","no",0,"no","no",2,0,"unknown",1
55,"housemaid","married","primary","no",16,"no","no",1,0,"unknown",1
57,"technician","married","secondary","no",28,"yes","no",1,1,"failure",1
32,"services","married","secondary","no",2196,"yes","no",1,0,"unknown",1
35,"technician","married","secondary","no",840,"yes","no",4,0,"unknown",1
36,"management","married","tertiary","no",-296,"yes","no",3,0,"unknown",1
40,"blue-collar","married","primary","no",-388,"yes","no",3,1,"failure",1
52,"blue-collar","married","unknown","no",826,"yes","no",2,0,"unknown",1
51,"admin.","married","primary","no",1330,"yes","no",8,0,"unknown",1
25,"services","single","secondary","no",3856,"yes","no",28,0,"unknown",1
29,"admin.","married","secondary","no",301,"yes","no",5,0,"unknown",1
52,"unknown","married","unknown","no",1317,"no","no",1,0,"unknown",1
56,"blue-collar","married","secondary","no",659,"yes","no",3,0,"unknown",1
38,"services","divorced","secondary","no",53,"no","no",1,1,"other",1
45,"technician","single","tertiary","no",0,"no","no",4,0,"unknown",2
29,"admin.","single","secondary","no",900,"yes","no",1,0,"unknown",1
28,"entrepreneur","single","tertiary","no",219,"yes","no",1,0,"unknown",1
44,"blue-collar","married","secondary","no",326,"yes","no",2,0,"unknown",1
37,"management","divorced","tertiary","no",199,"yes","no",1,0,"unknown",1
32,"services","married","secondary","no",118,"yes","no",6,0,"unknown",1
49,"services","married","secondary","no",-507,"no","no",2,0,"unknown",1
41,"management","married","tertiary","no",6563,"no","no",8,0,"unknown",1
40,"management","married","tertiary","no",0,"no","no",7,0,"unknown",1
26,"blue-collar","single","secondary","no",177,"no","yes",1,0,"unknown",1
53,"retired","married","secondary","no",330,"yes","no",2,0,"unknown",1
55,"technician","married","unknown","no",0,"no","no",1,0,"unknown",1
32,"technician","married","tertiary","no",3820,"yes","no",1,0,"unknown",1
40,"unemployed","married","secondary","no",219,"yes","no",1,0,"unknown",1
34,"housemaid","married","tertiary","no",897,"no","no",4,0,"unknown",1
32,"admin.","single","tertiary","no",3816,"yes","no",3,0,"unknown",1
33,"management","single","tertiary","no",0,"no","no",4,0,"unknown",1
30,"management","single","tertiary","no",344,"no","no",3,0,"unknown",1
42,"blue-collar","married","primary","no",170,"yes","no",41,0,"unknown",1
33,"technician","single","unknown","no",135,"yes","no",1,0,"unknown",1
45,"admin.","divorced","secondary","no",1293,"yes","yes",1,0,"unknown",1
46,"management","married","tertiary","no",0,"yes","no",2,0,"unknown",1
33,"technician","married","secondary","no",-204,"no","no",3,0,"unknown",1
36,"technician","single","secondary","no",125,"yes","no",3,0,"unknown",2
43,"admin.","divorced","tertiary","no",1440,"yes","yes",1,0,"unknown",1
49,"unemployed","married","secondary","no",13818,"no","no",1,2,"failure",1
39,"blue-collar","married","primary","no",882,"yes","no",4,0,"unknown",1
34,"admin.","divorced","secondary","no",0,"yes","no",1,0,"unknown",1
