App,Category,Rating
Facebook,SOCIAL,4.1
Instagram,SOCIAL,4.5
Facebook Lite,SOCIAL,4.3
"Messages, Text and Video Chat for Messenger",SOCIAL,4.4
Tumblr,SOCIAL,4.4
All Social Networks,SOCIAL,4.2
Snapchat,SOCIAL,4
Social network all in one 2018,SOCIAL,4.3
Pinterest,SOCIAL,4.6
TextNow - free text + calls,SOCIAL,4.4
Google+,SOCIAL,4.2
The Messenger App,SOCIAL,4.4
Messenger Pro,SOCIAL,4.4
"Free Messages, Video, Chat,Text for Messenger Plus",SOCIAL,4.3
Telegram X,SOCIAL,4.6
The Video Messenger App,SOCIAL,4.4
Jodel - The Hyperlocal App,SOCIAL,4.5
Who Viewed My Facebook Profile - Stalkers Visitors,SOCIAL,4.6
"Hide Something - Photo, Video",SOCIAL,4.6
Love Sticker,SOCIAL,4.6
Web Browser & Fast Explorer,SOCIAL,4.4
"LiveMe - Video chat, new friends, and make money",SOCIAL,4.5
VidStatus app - Status Videos & Status Downloader,SOCIAL,4.5
Love Images,SOCIAL,4.3
Web Browser ( Fast & Secure Web Explorer),SOCIAL,4.4
SPARK - Live random video chat & meet new people,SOCIAL,4.6
Golden telegram,SOCIAL,4.3
Amino: Communities and Chats,SOCIAL,4.8
Facebook Local,SOCIAL,4.2
Meet ®π Talk to Strangers Using Random Video Chat,SOCIAL,4.6
MobilePatrol Public Safety App,SOCIAL,4
" WhatsLov: Smileys of love, stickers and GIF",SOCIAL,4.6
Phone Tracker : Family Locator,SOCIAL,4.3
HTC Social Plugin - Facebook,SOCIAL,3.6
Periscope - Live Video,SOCIAL,4
Quora,SOCIAL,4.5
Kate Mobile for VK,SOCIAL,4.4
Family GPS tracker KidControl + GPS by SMS Locator,SOCIAL,4.5
LinkedIn,SOCIAL,4.2
Moment,SOCIAL,4.5
"Text Me: Text Free, Call Free, Second Phone Number",SOCIAL,4.3
Meetup,SOCIAL,4.2
Text Free: WiFi Calling App,SOCIAL,4.2
TextNow - free text + calls,SOCIAL,4.4
Badoo - Free Chat & Dating App,SOCIAL,4.3
Text free - Free Text + Call,SOCIAL,4.3
textPlus: Free Text & Calls,SOCIAL,4.1
"Free phone calls, free texting SMS on free number",SOCIAL,4.5
Tango - Live Video Broadcast,SOCIAL,4.3
MeetMe: Chat & Meet New People,SOCIAL,4.2
