team,won,los,t min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,ff
AtlantaHawks,37,45,19887,2975,6551,384,1077,1720,2227,1008,3462,1804,600,1170,448,1673,8054,17,0,0
BostonCeltics,66,16,19753,2986,6285,596,1564,1677,2176,830,3445,1833,696,1181,379,1864,8245,37,0,0
CharlotteBobcats,32,50,19890,2960,6555,529,1443,1510,2115,894,3333,1748,614,1136,401,1777,7959,20,0,0
ChicagoBulls,33,49,19800,2987,6862,474,1304,1533,2029,1051,3529,1811,635,1156,429,1784,7981,27,0,0
ClevelandCavaliers,45,37,19872,2937,6696,552,1544,1477,2061,1092,3655,1640,579,1081,427,1712,7903,22,0,0
DallasMavericks,51,31,19737,3025,6515,494,1403,1690,2075,883,3526,1720,490,988,402,1786,8234,33,0,0
DenverNuggets,50,32,19864,3307,7038,569,1605,1891,2519,918,3616,2024,752,1181,552,1731,9074,53,0,0
DetroitPistons,59,23,19727,2999,6549,487,1330,1507,1965,973,3396,1831,583,910,473,1688,7992,35,0,0
GSWarriors,48,34,19782,3403,7405,761,2184,1538,2044,1044,3540,1833,744,1063,377,1875,9105,34,0,0
HoustonRockets,55,27,19733,3003,6698,583,1707,1342,1848,1002,3661,1757,598,1071,420,1609,7931,24,0,0
IndianaPacers,36,46,19773,3102,6992,755,2020,1568,2042,904,3537,1864,623,1207,411,1921,8527,26,0,0
LAClippers,23,59,19808,2820,6445,350,1078,1702,2178,800,3291,1732,557,1129,398,1745,7692,34,0,0
LALakers,57,25,19786,3248,6817,662,1752,1746,2270,898,3620,2003,653,1118,438,1691,8904,45,0,0
MemphisGrizzlies,22,60,19811,3060,6736,620,1779,1517,2097,846,3410,1573,503,1205,387,1591,8257,9,0,0
MiamiHeat,15,67,19837,2808,6334,491,1372,1384,1903,743,3084,1644,589,1151,354,1671,7491,17,0,0
MilwaukeeBucks,26,56,19848,3026,6744,452,1312,1452,1980,1055,3418,1759,545,1172,361,1748,7956,23,0,0
MinnesotaT-wolves,22,60,19724,3076,6817,441,1259,1246,1693,964,3392,1630,616,1142,306,1884,7839,20,0,0
NJNets,34,48,19847,2856,6450,498,1431,1647,2236,914,3433,1925,521,1179,390,1855,7857,24,0,0
NOrleansHornets,56,26,19813,3164,6796,630,1620,1312,1707,937,3431,1785,637,926,320,1531,8270,35,0,0
NYKnicks,23,59,19894,2967,6757,490,1453,1524,2095,1029,3486,1530,521,1132,213,1761,7948,16,0,0
OrlandoMagic,52,30,19796,3058,6446,801,2074,1650,2288,768,3445,1706,520,1134,332,1688,8567,24,0,0
Philadelphia76ers,40,42,19761,3056,6649,302,952,1509,2137,1068,3437,1673,711,1111,397,1620,7923,17,0,0
PhoenixSuns,55,27,19789,3392,6782,694,1764,1548,1977,720,3403,2188,532,1139,518,1633,9026,39,0,0
PortlandTrailBlazers,41,41,19919,2935,6544,538,1424,1412,1841,899,3337,1733,455,995,358,1642,7820,16,0,0
SacramentoKings,38,44,19830,3043,6558,510,1367,1812,2272,829,3284,1567,651,1257,334,1839,8408,35,0,0
SanAntonioSpurs,56,26,19759,2938,6424,594,1610,1350,1774,771,3383,1718,521,981,336,1537,7820,19,0,0
SeattleSupersonics,20,62,19828,3125,7032,313,939,1436,1866,971,3659,1748,531,1249,401,1680,7999,10,0,0
TorontoRaptors,41,41,19837,3148,6724,572,1460,1347,1658,788,3284,1953,570,918,338,1596,8215,9,0,0
UtahJazz,54,28,19697,3279,6593,407,1095,1745,2298,943,3353,2165,717,1169,356,1970,8710,18,0,0
WashingtonWizards,43,39,19908,2986,6695,575,1614,1557,1991,1007,3411,1607,632,1032,391,1606,8104,24,0,0
